,iter0,iter1,iter2,iter3,iter4,iter5
151,389452,565176,522948,148328,123714,582943
152,571061,730182,390283,704247,65399,71264
153,106143,712277,394414,257467,642691,122067
154,502127,79297,255509,189908,428664,175898
155,187141,234019,400867,674062,146921,562682
156,32653,254489,97636,70790,517617,618242
157,235869,745668,644972,117185,280159,50892
158,388448,236748,428750,691088,37548,150924
159,480731,353059,543740,702232,416380,46763
160,209518,153670,622847,166287,386600,604064
161,637909,656222,618477,10598,451762,730027
162,324621,155672,741478,348759,688534,520464
163,190071,46311,675149,570505,100551,276194
164,58660,228443,111306,748969,262926,232751
165,91838,14218,171954,91164,214533,293610
166,157362,302570,27602,285164,685873,94663
167,164535,628535,606257,177589,474635,246498
168,2923,309536,726333,296297,407558,60971
169,456243,322580,401513,688597,350871,431806
170,154382,228880,183476,257175,80030,203866
171,549078,644512,285716,683679,156056,485123
172,211119,236867,290765,220264,446151,507163
173,401649,135264,189390,115423,103958,174780
174,59322,588790,728673,521315,470360,448248
175,36435,698821,576976,322676,336873,636048
176,547946,523748,424791,69716,324281,542818
177,64549,499716,151394,335644,659404,264634
178,195717,29885,181168,513437,200763,555489
179,169817,73006,570146,56276,72393,106564
180,612251,289062,166777,81171,630469,470146
181,707430,605224,341349,438687,135195,346239
182,362542,154377,477346,735383,131335,673017
183,379154,31821,350596,179534,318681,130721
184,413150,78754,29600,116770,149247,703105
185,272492,419956,375881,462605,361960,450873
186,510816,570939,274487,633448,466967,226250
187,401642,312558,601780,53395,180133,609222
188,111885,117453,448922,402135,173845,127238
189,270249,699433,464898,698567,173963,305482
190,581267,542699,14259,300132,143815,418459
191,672224,313864,38583,269193,230337,357230
192,700003,742749,396607,692274,11293,280033
193,116759,514854,627337,403075,500811,222912
194,612505,553486,403574,312892,54778,731431
195,144840,313374,504271,628852,235494,212223
196,534000,30883,521838,167550,161881,428140
197,276290,46549,740849,651663,616348,376473
198,679306,295092,723313,149843,209074,206331
199,95626,711556,668870,249543,179784,81775
200,483855,160199,565553,348326,542106,112507
201,107996,662055,624843,340854,370335,263115
202,290669,513779,403166,534619,501868,434162
203,567597,5230,132349,732016,520768,743507
204,279613,574605,55362,498284,505352,189752
205,652233,381096,729566,200828,285154,69319
206,459441,710889,374725,554665,276690,228751
207,625052,473422,163611,616919,670056,704879
208,600540,222715,240579,685539,114113,244370
209,628703,547960,659548,496057,742604,123928
210,88175,633135,266984,183281,51005,252298
211,311790,261895,301328,664809,548955,334938
212,145036,124679,113045,700740,472972,98877
213,214000,705755,31749,622721,744477,79243
214,492983,67147,650616,187029,370811,168258
215,338259,383687,250546,177087,114311,539403
216,476671,518673,137137,606691,490421,115438
217,655765,101511,273671,740867,463222,376972
218,143522,631599,191822,23228,681437,25681
219,367445,502681,151681,406634,107268,339351
220,330283,540626,181570,97664,578475,312574
221,544755,152228,562164,127064,469204,189717
222,653685,577981,224171,285067,210480,639909
223,41002,713413,460503,254867,227148,411502
224,404705,155662,722046,520397,612074,247524
225,300202,256187,625968,496938,101986,675390
226,286988,405455,374184,411786,117674,678185
227,604158,301406,650178,473816,7875,304241
228,300628,256586,722612,392155,480901,71622
229,131175,209764,431735,592282,507454,215008
230,444338,584200,360701,143350,515388,94057
231,237356,202819,10308,125586,492078,372917
232,304476,222015,29434,487957,239648,361085
233,691800,288521,655166,610356,358363,433509
234,156569,452521,242899,663182,387804,620364
235,467981,479214,333926,176071,462828,511124
236,105332,320518,233315,383942,417917,606603
237,688856,468211,740556,172962,310096,105870
238,724639,80991,467326,547359,624913,634700
239,306183,394366,597081,1005,344606,159628
240,94264,732048,732331,301810,204060,702443
241,740212,196546,704000,233405,177988,134142
242,285082,533740,62592,5306,689693,296051
243,346446,29047,60025,651525,404832,38817
244,479517,84917,373579,482896,724720,439793
245,688094,689667,626003,326149,688673,45177
246,579832,123106,631662,102876,366303,368573
247,393153,747044,742581,526055,611867,359613
248,67073,401577,109404,359093,429550,194938
249,46853,19057,290711,587274,519553,251936
250,148228,411806,85694,23034,615660,565772
251,675803,635349,225513,390097,569184,589847
252,699674,444162,265220,73018,110662,646868
253,485721,91597,32406,221267,558945,475497
254,370306,201598,247127,656749,215220,434376
255,326680,191921,601855,333336,79380,713682
256,319652,559719,55255,254421,431548,151808
257,483987,631693,18786,445819,283817,281655
258,70850,487692,11670,236106,326215,748785
259,701711,168728,310374,570884,512534,682693
260,107968,194615,154421,42013,559434,129864
261,405280,675551,644849,670959,543464,157174
262,452795,732668,637804,284753,364412,424854
263,450025,111893,59795,9581,106483,167705
264,54574,110678,663463,63116,52479,520745
265,43404,684269,302900,387905,595034,728216
266,414292,158381,461355,601181,256043,266093
267,86159,81504,608103,37538,558624,529445
268,361626,63053,39495,120976,379347,654264
269,323528,513570,93328,109761,56591,608165
270,331703,346698,189579,502313,648125,488917
271,203647,25104,447260,134443,147904,43856
272,626394,377421,500148,138387,443866,100615
273,1326,320104,30821,100980,619242,23992
274,409236,558381,162913,248563,152543,106405
275,178665,403506,343302,719301,392225,300681
276,738152,497428,437072,190776,71026,461459
277,366549,194978,59414,713544,51824,1323
278,619475,186525,108714,364320,343904,97566
279,448557,386502,425367,123272,189221,426600
280,69708,387638,443434,529114,404256,690715
281,164163,1417,645973,582245,62292,297949
282,408717,694801,643003,454305,187334,61713
283,673817,162173,222876,1174,483595,539446
284,533496,696444,246617,41784,440865,529675
285,42987,283115,95570,425050,11034,273544
286,442145,376900,77033,319610,226990,51769
287,478383,250773,401656,611951,512527,173668
288,631648,550135,706817,503452,310512,285639
289,571873,732278,540793,703930,422343,133214
290,26774,441180,166305,72963,622919,47825
291,322589,274710,498915,525186,403059,132914
292,619965,425165,641120,659886,297097,279855
293,89385,127995,147042,183074,567832,521933
294,71012,456694,29625,647676,347952,549337
295,101880,543755,676333,135311,394595,195819
296,500519,454712,682729,603047,122666,311296
297,190058,296209,714594,234553,465228,672466
298,386436,474263,638604,209810,363594,200133
299,513352,607616,136680,549881,263411,48702
300,606597,274607,86971,224823,543884,437142
301,383365,574126,12143,612127,615048,277803
302,115105,248281,16419,80844,228477,299494
303,414217,80632,342696,204960,366206,590827
304,139181,422053,635654,671442,665469,367859
305,413762,577625,266920,533424,555112,605734
306,23446,248638,367336,44636,487173,27913
307,9972,307558,404010,729089,374226,239796
308,267698,197668,167858,479343,593624,359879
309,143430,752,490427,583646,677799,299803
310,46733,741656,630575,433888,354719,201364
311,475214,336442,318962,459364,131664,689020
312,48185,487580,700277,41872,466989,60609
313,401154,556808,192732,106256,746139,585415
314,426220,188621,191451,586932,53161,659806
315,1086,140425,58657,546091,703507,369400
316,682470,483033,709502,330393,246798,95185
317,156878,635106,531216,504827,511437,40298
318,451274,433395,144164,20309,603738,234716
319,67287,440877,11192,398559,281033,676574
320,539260,380208,610396,31149,214807,724042
321,184238,719313,733125,220237,425489,667552
322,264862,536924,125685,556176,399456,477760
323,142373,32280,229208,181738,104082,153729
324,558732,735265,224591,279749,166728,559983
325,181099,136789,142826,162203,280144,259729
326,500885,393986,709198,658638,698717,43908
327,5435,104490,462578,237335,340266,217083
328,200065,308391,584835,533395,27893,550769
329,717733,454658,160563,505824,748797,409137
330,545552,466173,257513,182355,439579,2021
331,356380,136183,323824,8231,543958,508203
332,282802,197465,559088,652325,220300,499204
333,652502,147740,675934,499924,357747,78800
334,357918,369984,495543,384340,471313,542485
335,115770,475094,641911,668529,516381,721965
336,568530,122738,211011,141981,7141,492305
337,106444,94319,571163,274800,134366,193743
338,726213,624059,307243,261751,578512,110330
339,609537,431511,140323,720041,722460,658785
340,707131,221373,137259,95140,726313,172212
341,21308,469157,685062,553454,193107,170796
342,112216,64861,329808,528353,86048,168796
343,636249,530960,675095,663160,88464,444142
344,631319,538752,544281,164555,545632,609191
345,498460,423613,673837,643252,144407,522770
346,253108,295856,177675,321389,676966,580647
347,71917,611923,233998,407962,297588,698191
348,697856,386047,314027,122273,439972,11528
349,425714,339724,41919,541660,723177,9135
350,191865,21324,686731,686444,338509,748674
351,443233,467789,43946,487940,665853,725896
352,678881,119225,498361,706551,20093,496969
353,276544,94213,300578,349186,651783,376768
354,314099,358844,616535,136934,104570,397638
355,142862,735833,702792,479603,308865,634386
356,337718,347432,168727,655766,703712,164245
357,387816,91028,677412,617619,123833,593424
358,605592,167205,124303,199519,67841,387275
359,263938,234774,290808,592514,238375,636717
360,35402,308286,544754,506022,384443,396728
361,193485,186922,390245,719410,613785,426924
362,593531,217317,386632,449334,693925,606168
363,348663,449843,169706,144942,309,278535
364,470970,676059,223229,347260,525269,705400
365,137794,363901,147030,697025,234184,419961
366,505035,171821,40660,110160,389135,879
367,271853,554903,112113,227433,31595,207960
368,448608,336161,562555,581890,12154,591331
369,268497,739679,162357,333441,39933,299969
370,404983,648570,344207,607571,122213,524405
371,414404,22913,228175,236593,680693,210353
372,502994,364364,635773,700981,412122,409351
373,603854,352014,283368,355375,591397,704844
374,503426,459507,424257,535277,201462,612155
375,245567,165922,637527,233406,209017,723651
376,747392,231547,34292,125570,546651,549878
377,41853,532038,217157,281641,547481,356369
378,270315,478405,153224,32533,603443,562303
379,583350,685799,655889,625622,740349,380913
380,555308,685403,483422,565721,742648,606400
381,230879,601387,251268,329446,360251,427276
382,146772,222146,587157,236452,645796,573183
383,508327,325415,107928,581964,731704,63426
384,567874,525681,59182,124996,469664,330955
385,643277,739083,502098,713458,544951,363918
386,631226,493038,264895,712932,538678,59781
387,640571,44447,434300,463684,507540,502620
388,72515,497417,86881,19082,266749,389547
389,588073,337955,316068,99546,95085,385134
390,373663,128166,361743,443827,258022,438038
391,200483,443036,241700,181379,433579,35712
392,495184,260740,300079,342327,164950,572118
393,599083,241377,417223,578742,348067,540445
394,418850,303736,297392,546406,668455,247887
395,717076,145239,652031,242741,160951,739330
396,56630,185713,584102,517838,299927,270557
397,571902,528898,536456,447580,476846,162808
398,137055,343886,365029,570397,150702,119048
399,58618,622574,534777,11791,506279,604101
400,15580,514732,256891,202439,748727,68908
401,654128,374987,319128,487927,212138,303166
402,706717,701828,736744,199619,547565,561398
403,96053,267295,615879,447540,590442,98630
404,378331,350524,473594,614463,614868,259714
405,713024,423565,736229,304611,334851,590478
406,421590,320625,599528,56958,116105,32167
407,359563,554514,732727,81872,687788,20889
408,731981,387803,329486,267432,72722,430890
409,711615,216959,185983,525803,459273,57874
410,645638,701620,499417,4127,474281,401845
411,136210,664930,626350,628686,585759,74397
412,437939,249165,415003,625265,206607,164358
413,107032,380079,86357,633305,298622,637416
414,620656,418694,470426,692518,645461,700046
415,332997,79936,447993,228658,666820,587941
416,63666,465441,727708,337940,198745,210755
417,333135,47049,3428,195633,264098,285710
418,675007,550164,418453,217922,9738,637789
419,208269,202373,128418,163377,700934,723951
420,85475,389162,443114,184536,73375,116941
421,87843,73840,39792,105208,337098,579568
422,430247,556004,59381,374893,351206,404471
423,301599,568919,583597,722325,606784,543812
424,112965,173535,725697,486367,637224,433976
425,719552,365958,479069,631309,342320,655415
426,550149,552769,746700,624299,715655,92731
427,264714,715692,335174,611005,641179,417558
428,39041,248065,68572,373706,651272,372099
429,395999,559876,97917,609390,59053,595975
430,279383,289954,590453,163474,99452,6291
431,75003,693346,424325,663553,318634,337990
432,450943,596656,175361,599058,296402,122782
433,350240,417073,664678,319419,389197,534461
434,163787,497654,660355,458329,180405,405183
435,202718,743698,316842,21918,160938,568462
436,674323,491126,272533,600269,92072,504804
437,454748,270304,308897,393805,229035,514280
438,307090,213320,173599,258731,452808,611550
439,202497,650292,277280,550725,488446,334855
440,510566,747575,174216,499338,270231,24367
441,736605,346066,38122,747506,141051,171569
442,414342,483050,612717,294421,334768,591670
443,151940,611034,450346,335901,181650,572992
444,275784,148085,393252,155137,16017,616
445,310833,340367,481877,640035,601509,348369
446,744228,392777,225312,490266,440855,494341
447,532876,260950,481419,454030,318965,304571
448,211739,521773,577684,50257,331015,688414
449,653194,143875,421435,120075,64179,240437
450,158386,155124,361698,661677,438971,199351
451,287842,546785,68792,297661,317990,347936
452,565299,284171,550346,332440,455333,336326
453,253392,553224,437998,259919,558330,569286
454,728345,656900,341442,618713,453295,580257
455,615972,495630,631694,216620,54881,395419
456,593238,478858,737151,737429,369513,392549
457,546542,707164,268229,711622,688939,525311
458,605728,548536,417402,611316,198255,192990
459,442174,671285,75605,265965,562224,267551
460,335637,287587,67100,418184,81891,628604
461,635357,447453,293967,209733,249189,528977
462,290641,23819,50158,228717,674185,33101
463,155793,416568,121607,284866,399704,68273
464,425016,667004,186844,278781,471837,15573
465,321765,708040,446988,629352,190662,248518
466,174234,509480,663831,499970,313808,556844
467,326304,315436,735418,449871,428329,89151
468,104572,233403,2548,139236,615924,193425
469,99782,141429,267692,69870,467039,549315
470,324313,566944,679796,382633,567851,26084
471,594952,30212,415412,325035,287295,459205
472,635496,298477,742260,438102,534578,56620
473,461801,304169,36031,538640,511057,437992
474,633616,548354,64117,102320,730927,338673
475,519370,301963,151187,666162,505584,423225
476,134332,109293,567403,635255,650013,430592
477,561699,529832,732124,286714,38707,455242
478,634623,124948,482369,399243,655879,491008
479,448889,648533,731697,106875,570654,503709
480,55461,189244,358786,523427,644062,343678
481,477102,197848,357390,236009,683429,138414
482,554087,29357,594880,314038,594943,728963
483,124447,507323,656570,3987,182742,172679
484,42877,119242,659813,737019,458523,578796
485,484490,314958,262585,222069,481460,50593
486,177660,635107,732579,449227,566349,434087
487,127565,630553,29332,268458,368030,314469
488,527215,490072,742382,535818,197016,238978
489,72556,497001,10569,27770,69438,217842
490,470359,372681,104611,375287,308736,191644
491,216920,626789,467765,515332,636751,653823
492,89858,374648,313971,483896,132195,357758
493,501443,457342,673167,680722,530403,450550
494,350035,334046,417911,151883,733493,296903
495,422772,718478,17765,365559,152775,465131
496,74302,690909,143765,711771,112841,524807
497,313245,41121,684134,441924,667029,92720
498,446956,75482,131775,446520,315468,623400
499,76282,687217,240883,272916,534990,314753
500,206463,119583,298233,101022,368707,653072
501,656341,524495,600311,484298,619154,170403
502,43518,623966,138942,633524,31558,139566
503,225698,211059,579992,438722,204284,191380
504,738511,555006,436223,533072,105024,701468
505,442333,523645,286762,489707,60445,195227
506,451001,434811,96514,267200,681144,545767
507,121062,57114,399099,629796,246486,30709
508,528284,590117,689406,264424,201280,487291
509,495946,564037,726695,251783,576452,67895
510,260016,439556,578770,375687,131517,518820
511,654648,568037,375197,650486,669443,397593
512,37248,619872,629660,70766,627683,439
513,368314,178366,379812,349502,488303,535322
514,419920,452119,384005,747406,483950,453191
515,608407,131353,193326,513678,247289,53150
516,697413,723413,726161,706481,203463,272718
517,374605,431023,432701,70008,109943,626033
518,504663,609644,376059,175944,366818,474540
519,539912,393497,677265,256928,710440,77417
520,636874,461805,109101,424666,247308,393609
521,121866,438460,348434,470602,469261,190123
522,253298,156133,253159,330532,178245,678924
523,436569,542772,420840,268078,435441,154225
524,444040,588914,305724,638669,675804,119948
525,711074,104609,658007,460953,283982,580373
526,611762,221883,48252,576207,35428,260114
527,667141,740623,332042,472946,473355,317911
528,174226,483286,195088,539668,328527,735011
529,369256,329406,343914,433414,663302,508975
530,289477,456307,556120,720726,583417,630673
531,255235,178603,118351,346867,309444,310227
532,653443,391914,332576,188157,133533,285187
533,54177,657605,722380,628358,427529,24833
534,681981,488222,699473,97527,396949,140608
535,623147,597844,203597,610602,495677,424668
536,65872,634991,373588,284363,99341,727307
537,638586,322918,7561,682363,394293,340165
538,188397,208206,5701,633823,287205,575384
539,436900,565258,708851,401069,291686,73732
540,717871,550552,387625,496237,88746,661703
541,669563,261202,648039,711704,526322,98950
542,517379,543977,628346,655713,65765,707742
543,183455,185382,193881,477351,52933,456098
544,720227,577048,92571,546998,520806,481378
545,463720,190429,603531,39315,475357,599536
546,119635,347270,58340,575626,264562,479246
547,11697,84089,320321,64073,228287,581080
548,672825,294652,315229,367815,208779,586438
549,235343,186593,345534,261671,364226,550559
550,402368,386191,60266,420488,537211,701456
551,306126,491808,154180,380134,66298,622279
552,727092,538031,501427,400441,102849,194027
553,33559,730994,664591,539825,293889,609602
554,52174,254646,528063,7102,142677,371472
555,286030,164037,25538,28820,122144,646204
556,164323,286768,110406,409842,614983,353167
557,351713,473214,254701,688688,98685,106106
558,375862,430603,649118,417439,87926,459871
559,573182,480453,87320,463699,484576,59437
560,294206,105060,185972,170892,730735,737806
561,48884,664011,618181,520141,615655,702506
562,426294,656304,448875,354564,608286,395733
563,73800,215445,248114,684285,177332,228684
564,114953,739866,619103,418764,544656,651416
565,436746,638348,164861,197253,276011,697874
566,651643,474809,156424,308242,2609,47456
567,128216,171135,396311,484292,408787,54632
568,69723,109514,481606,251449,227284,577673
569,328242,225684,522075,75527,732096,623434
570,67529,626623,87378,342333,426532,469327
571,77334,109731,488635,451113,129855,432117
572,186067,198332,704097,368276,385129,653138
573,196218,632009,516816,706095,481965,550625
574,354526,400956,713643,578716,708458,164542
575,88073,712781,579674,108157,151304,590948
576,588179,416926,400671,404110,275840,506871
577,346974,4792,137315,21753,563101,138699
578,150725,656139,358038,211270,141705,531254
579,303491,229108,495406,350723,451380,396969
580,491114,565326,744230,157211,228416,671208
581,382591,582658,611032,409335,445294,469198
582,201278,405027,258522,479906,538961,467590
583,707199,152882,537006,418195,69383,478643
584,583282,697106,634306,344031,56413,575034
585,581166,560148,86844,16094,559726,215948
586,277944,340465,123207,321458,257636,80375
587,171455,172851,722484,168208,501215,114828
588,332974,264036,277681,500,108431,231337
589,562249,192088,5902,481802,62343,449111
590,4307,122560,737599,97,708443,506313
591,652689,499003,593991,693091,521016,17956
592,616609,527908,439519,610224,600449,380214
593,398008,19432,483280,207397,554576,22231
594,617534,745111,565440,45466,600333,745551
595,724847,233968,259728,226810,283565,615693
596,269963,676826,552783,540849,39769,389454
597,21373,542479,205073,115896,697627,221041
598,357335,533344,25702,91886,515136,296277
599,426594,270414,563973,153182,538302,93342
600,500961,561134,471441,516249,663945,514666
601,567585,137534,157031,12291,167800,702770
602,280525,62579,694516,456150,295463,599238
603,319509,568175,498778,413145,137828,481644
604,21625,498177,639818,497302,538990,179399
605,407311,275122,452667,703123,272594,729005
606,223079,14793,522008,377498,490141,339419
607,478416,257914,474922,200256,38532,586684
608,572688,246576,343953,80169,632843,38357
609,322351,676305,307330,610500,238987,541602
610,292126,103720,576204,72747,566818,52109
611,396325,630741,464743,68404,78529,658011
612,255679,455565,448348,695490,630958,115809
613,41735,500990,53681,581877,745268,564043
614,627004,164967,692961,252285,493177,186899
615,552720,392873,162175,309896,726146,671086
616,537676,507921,22370,62705,672089,445654
617,544748,8409,126427,732015,196570,722440
618,571048,565848,50011,240865,102255,150500
619,272937,205055,210544,627056,293740,202949
620,102453,226443,478521,639051,358586,189743
621,536251,657607,519189,678115,337538,412739
622,497902,226346,186095,5667,399145,206386
623,675669,493857,529279,139956,293052,34664
624,97052,652624,70901,217127,339897,15281
625,611104,551383,556779,244322,241971,324766
626,155115,293973,490981,367984,237813,581079
627,508591,557678,110779,241148,620450,183161
628,461943,703955,369366,345270,26080,149141
629,475978,100717,34567,359500,53247,221585
630,246748,244870,58691,385135,395018,732293
631,330995,740351,422358,517496,699450,114254
632,633532,181584,580061,730630,184206,414494
633,556547,127373,411498,153661,511449,639792
634,215171,115523,128313,72383,418980,156047
635,697578,709652,516798,419590,79900,5003
636,671966,581654,465231,630692,506712,655583
637,441736,574283,506202,450691,563590,34150
638,427812,19231,658772,154389,499421,447144
639,510747,155879,728365,437135,249969,522017
640,632468,166600,651451,83328,141234,30081
641,36873,294688,525419,345001,43315,540700
642,566095,228283,737250,640796,681669,690407
643,347608,277837,530169,434089,401153,240987
644,322197,127901,391208,412549,489850,482918
645,514085,546106,613842,545894,51237,410424
646,211414,670131,270950,647646,171885,495255
647,244860,688736,245969,10115,291442,213511
648,503140,213259,641152,287858,459079,225592
649,447787,581359,440930,578170,53904,365248
650,297394,267848,397171,484675,17191,51402
651,146865,648952,396430,354114,459916,504710
652,733173,147001,599461,351135,512902,529624
653,245364,241610,401773,186023,460333,554772
654,630020,242382,392093,486981,405430,522665
655,511720,272277,465896,470025,405136,615816
656,25393,324369,565672,677189,723589,130326
657,128886,647760,42541,284967,564827,384506
658,332023,524731,610451,80639,15868,31210
659,334539,448040,50566,353174,300929,157752
660,676318,224783,592329,603915,640239,94427
661,210572,189424,573106,145282,259033,602636
662,664447,154910,410845,220901,114176,166016
663,16260,427448,741661,238841,467995,236655
664,51652,86458,540408,301427,441461,170835
665,606053,605053,454245,712267,208708,318819
666,732010,257108,595404,197758,436731,172394
667,445331,324271,283728,446917,616265,17925
668,357164,387366,124098,139944,484020,196128
669,353669,416987,41241,83598,256930,743157
670,318796,681420,522873,194545,545876,399052
671,737537,44512,523930,524104,509184,235884
672,401260,304275,151337,250193,76246,454167
673,327095,44799,684495,613993,4388,652510
674,322440,626953,370198,442555,666749,112129
675,399793,239251,292532,576089,60065,192536
676,471776,737546,312726,121780,629214,452006
677,666332,560032,66230,547793,380116,719676
678,292415,449804,448885,275675,617577,455082
679,666310,84040,32137,619486,226571,748363
680,386036,238893,34511,496917,314671,375201
681,221878,635863,104012,697157,452560,453363
682,398027,142929,486622,693765,67163,628835
683,57303,192190,142143,120709,430109,531569
684,624342,116908,556940,461807,341701,362663
685,391166,449834,430683,329642,722685,74637
686,254475,258644,341643,458936,84805,652264
687,429049,432681,410959,436744,250229,673564
688,382642,627424,25220,174515,500241,422278
689,184697,319019,738447,591903,445936,317302
690,310775,673388,75084,398089,81901,508477
691,343917,65620,646264,560565,245676,628809
692,616406,466575,571528,98658,125768,419308
693,382813,533240,523324,622295,424577,489355
694,81527,534111,226184,425310,181987,178249
695,247728,426912,691217,141561,373741,310744
696,717591,318629,158570,27679,393970,431471
