,iter0,iter1,iter2,iter3,iter4,iter5,iter6
52,343426,187791,9317,323458,154443,554635,700318
53,696415,420191,435141,583664,386020,308923,472911
54,336551,225578,291734,625384,300423,60872,88094
55,85356,371048,533599,398194,159664,611846,283310
56,456959,278737,626507,703260,301542,680578,449449
57,447307,69069,485060,85940,578158,295127,250752
58,86917,662077,485154,698691,166168,285748,67079
59,537238,449742,293711,621477,357137,468198,59519
60,291993,27724,492186,80532,39122,86345,339835
61,491282,40375,339075,422429,709170,619556,254866
62,603285,194673,161695,273819,169151,136943,42179
63,279968,582528,576505,196040,564103,354698,678577
64,150027,140427,586149,279583,519186,648017,340391
65,210824,152936,359144,560454,270848,220237,585372
66,622047,644093,672673,208018,191123,3577,407769
67,551445,207336,396143,703268,353,516248,244660
68,364148,234876,79043,219925,405528,411589,625341
69,394262,696871,412164,430560,668782,530989,370409
70,590776,647215,481906,687264,709046,539963,712950
71,678940,20959,116656,227901,27351,675679,318912
72,107220,76118,279136,507244,375356,657025,487512
73,151374,230140,157920,496794,80754,93687,627456
74,607081,446411,703207,285383,130573,719518,362072
75,120017,417628,584522,447778,300825,218300,497729
76,231198,48483,625386,76432,88061,653372,143389
77,686045,88184,353883,296485,591106,358142,231923
78,616025,538947,185209,116219,325380,608253,95635
79,325651,695160,695548,47667,371932,47824,89606
80,76400,657394,587890,123975,2744,15519,112657
81,134015,581361,146243,176815,696837,602194,173632
82,41056,589749,646538,265193,398243,141942,519292
83,423347,658387,193514,102629,535076,463646,184311
84,336588,250681,397405,634030,532462,348663,132713
85,234428,325453,569235,3353,393751,371762,233409
86,510690,332047,508855,408990,656679,76873,414380
87,539899,3526,659179,332896,352728,389995,100354
88,520005,28187,331084,96437,419374,211289,378020
89,446530,171490,511360,597975,555264,370792,114751
90,236630,314111,375217,581175,62571,461881,488263
91,53494,56494,565998,529159,403111,484455,331148
92,398249,211011,622031,401864,138264,328813,603802
93,70348,236633,169774,100329,481887,4734,64964
94,586812,666677,674736,517559,25676,322105,637414
95,443253,552906,538940,679116,264582,204293,263893
96,256638,430122,313088,422077,660627,236425,596409
97,668036,41942,685393,65312,383338,585857,142933
98,295787,529281,704256,476181,660986,631338,7294
99,283377,269718,1972,547810,401578,286293,365458
100,171361,238745,443294,442358,343065,466511,662875
101,185068,711586,564887,209930,596726,522144,607209
102,388112,133266,22316,467206,217594,286804,160850
103,563388,303641,666440,328043,290514,426957,230586
104,402589,183791,266913,18480,444757,488037,172191
105,283591,695932,16965,597129,324076,221401,197686
106,116643,224860,507220,103194,599756,396837,118210
107,178406,677874,614086,344095,657268,374368,710807
108,605105,331156,264046,88067,317804,533472,411519
109,704504,216293,438948,40472,503897,495945,602502
110,567803,697408,106544,15272,332545,528483,641964
111,491306,25035,606786,507393,180248,240710,357917
112,652768,662437,481152,679838,93091,383209,424997
113,54550,97482,483367,666702,350015,73148,195766
114,268549,658325,26590,336283,203039,207454,600762
115,479743,392512,442178,115183,29833,392755,120723
116,672057,16615,388406,46832,85327,590558,421060
117,382555,59122,75964,23780,403937,210186,347202
118,102649,514184,393163,593142,227254,305240,593419
119,337560,641200,94245,459951,560103,280111,202855
120,382483,164438,428231,266315,347852,329091,696120
121,148586,257352,51199,223336,568628,566156,50925
122,233587,325600,24734,413383,103907,551769,212490
123,597334,106814,151821,564348,114569,31412,211684
124,50053,519007,533969,716163,38837,76635,702704
125,287448,434760,460417,266209,708773,720604,700036
126,41465,549121,16130,451675,584288,498039,490689
127,307446,300924,338364,404786,362578,346193,272403
128,97790,695579,116955,356499,321284,642169,255360
129,447464,161869,166534,505549,108311,666377,520701
130,184430,155250,691995,156119,506928,449995,480915
131,375373,662853,94098,311304,255161,591088,379824
132,596749,309719,644273,581808,654874,640828,677601
133,278829,53341,442154,423763,480071,625728,204126
134,12552,81297,548450,86754,199002,494616,303636
135,658063,684405,24744,264839,4796,84028,400156
136,155969,631912,439728,9541,265840,247577,187728
137,326502,569415,613790,5169,14295,70912,713385
138,487571,718579,207843,343056,625824,433615,230825
139,309899,699375,710132,198788,635195,103890,171230
140,441505,375850,669810,117412,176464,240606,569411
141,679815,598222,76817,1416,687938,348771,108284
142,135060,706495,471995,138754,6245,19745,442165
143,710931,316977,174352,525917,437370,496311,500324
144,474194,508320,293937,269538,155162,565628,380047
145,311743,144603,689322,47538,613145,578067,161995
146,584771,449570,445846,336567,93387,18208,122063
147,649141,88017,201858,667489,267122,694296,234388
148,315335,591309,469795,646300,436259,497492,399585
149,446448,249668,318408,138128,194008,545479,396424
150,320464,546290,695267,452696,348600,713330,528663
151,211777,705032,376879,314476,501531,601993,643968
152,484837,410032,306171,134521,386635,330549,78086
153,694102,51916,296452,319530,237073,604196,335873
154,486857,148457,333976,218567,297855,381079,340303
155,234311,227279,560973,351615,654123,179754,93739
156,352168,294149,367275,154532,453059,327345,69376
157,539365,651873,7017,598710,371238,717535,215317
158,482645,21830,581284,484547,626536,407298,96813
159,667475,664751,304388,277069,375242,11068,127738
160,546342,400011,604565,84485,167696,591751,131491
161,696498,425293,613971,414539,184282,686907,258936
162,584986,540382,89331,699004,256947,158047,50831
163,59775,218556,90437,228099,226117,121928,7683
164,433484,712755,376326,84639,401187,720229,607177
165,91102,280446,179061,372463,684954,465257,190130
166,283964,392417,317720,321272,676725,507894,719832
167,331464,260519,697970,614640,315401,673968,323037
168,406524,137604,454922,453302,245755,57081,520261
169,658340,216111,575034,69609,637928,1646,62636
170,96023,193668,249974,610438,704993,321135,560492
171,680357,69072,129440,73840,457617,712114,597047
172,672454,474836,75648,296368,181404,202734,570273
173,281180,116597,492432,346095,434490,469266,161702
174,611552,422902,121459,354932,189987,224683,217228
175,258089,434138,243880,103403,651935,386279,628287
176,252809,490042,442048,301967,537169,646593,474288
177,531331,621600,474252,227156,489724,638329,470203
178,25571,482984,293166,583082,311817,448897,678541
179,564974,292679,503737,228802,386952,197412,7249
180,232944,544669,614274,355106,568738,531484,213898
181,677950,364785,565335,198431,721301,209173,662610
182,690606,313714,192145,147697,196101,686196,115594
183,313007,387193,117480,60454,445608,15159,79991
184,632038,690319,320253,431889,62744,655151,556007
185,658721,402883,513518,39571,352515,402124,349732
186,333650,339629,67373,259437,566965,239406,581203
187,495113,680257,466334,163102,379102,18800,532511
188,686546,368160,226876,481442,281636,105564,517008
189,476050,671670,96454,262525,2156,690433,299986
190,51571,205311,467084,106287,640352,361406,75625
191,103623,469712,631648,485953,379312,250643,253456
192,196148,144610,43800,288691,50808,394703,626891
193,253967,168133,109870,449319,314542,227590,562783
194,91045,110059,472481,456874,192201,478671,601032
195,502120,511098,31782,68652,87715,509869,215570
196,675818,650390,680041,430207,145114,395116,184766
197,410950,591116,632156,388620,692890,12507,169225
198,440391,601401,85907,42092,472644,583603,2729
199,623480,479999,270310,544283,470316,64097,584952
200,79759,605739,43517,556138,403334,190456,300732
201,302832,446266,339256,719865,435996,558109,489929
202,82922,656114,80420,91972,539198,540623,500392
203,550494,27383,454355,525561,610876,230635,362600
204,319372,413111,248438,63687,670500,288187,389107
205,552269,350140,71267,474970,421832,342165,455032
206,209349,15136,27201,707151,544059,247342,42186
207,226850,628559,161291,551359,589994,83223,720813
208,156400,269567,182875,278738,654505,108541,492000
209,286793,656029,333781,420689,722325,625333,360094
210,616357,699277,179669,594289,505770,573231,197772
211,514907,422979,65287,168346,692035,143235,145172
212,179865,444083,465464,352950,676066,98440,616750
213,700158,605690,655020,176716,308471,544496,87719
214,656848,85926,506542,594969,711579,654504,438600
215,487910,630766,370401,138766,384102,362185,510038
216,243758,659883,559136,139003,116941,68717,301192
217,411976,528156,95087,575198,86341,354599,537009
218,595711,436666,128148,313373,439513,279934,573085
219,21577,366548,179009,172772,1483,310681,565049
220,501989,24781,459997,542918,100955,372743,519260
221,204939,362511,10752,270724,532857,139426,217062
222,466577,310405,359893,551894,593253,640544,502182
223,211255,179350,449315,55119,185102,692345,162710
224,186775,69694,121495,703981,624784,641488,302281
225,382563,585656,555244,609919,105074,483155,494842
226,129081,561588,559193,669992,65650,598725,222836
227,108927,377022,298974,655234,486061,49950,704033
228,41424,66299,301505,108985,72924,401945,322186
229,685796,556094,586780,49577,656104,28874,254087
230,641037,401026,398894,434682,634980,464606,513819
231,638634,415464,76716,689466,334026,646520,138052
232,357965,580688,339693,517051,176741,593605,706809
233,341582,247081,184778,109946,389820,576653,345821
234,395538,20441,160086,515584,153815,395407,164913
235,74532,338992,18144,535746,543958,173996,223874
236,214033,151770,338283,359541,219720,57251,1141
237,704765,74935,501445,103825,459640,241981,13327
238,124443,100274,589155,307024,682009,206299,18953
239,630926,372163,539561,684402,493512,17370,276721
240,53813,630368,570325,436064,86263,27110,657824
241,540580,479246,300686,623506,61139,50203,13095
242,50759,585264,653285,476035,394173,13586,518915
243,695232,223251,594450,464272,693176,215036,115837
244,152235,385458,173740,582439,607235,270917,162280
245,580306,265049,598359,603715,241,682064,194633
246,682741,586823,60437,136308,18235,643322,108694
247,604679,251779,529155,689633,41404,149790,711796
248,226767,108999,656545,493173,626401,650078,163246
249,250565,618959,224600,40531,706262,194935,715079
250,377397,587158,409817,551480,201766,226529,429222
251,133094,95593,362739,134639,379186,577315,579028
252,404007,255367,39997,644564,625520,635357,671081
253,385050,143809,75296,626095,9432,368801,716429
254,47478,689776,76702,5922,318829,218394,629049
255,378468,186000,289023,375729,292353,465140,704484
256,174857,222874,375858,330407,259431,484916,579455
257,448552,653215,472972,310713,509167,381811,245881
258,156579,229877,202048,647889,360593,692021,535183
259,264412,100959,431441,350702,66526,343560,206406
260,193911,108521,431883,276456,148383,361048,252072
261,285901,553728,51437,293575,66428,341713,437650
262,142987,349673,126846,368098,30031,364692,366446
263,318196,275560,329591,676095,378855,36078,457825
264,542862,492572,645279,484560,227581,365585,135766
265,298136,252438,31343,318385,24170,33730,664236
266,613934,328109,15442,383655,3793,289784,676311
267,136953,483515,356629,379564,701167,552260,201579
268,463723,237538,379427,347633,451040,438000,508931
269,583268,219535,498488,223252,354023,317460,479965
270,116767,84622,65109,604024,715331,490240,27490
271,474805,666983,546841,557470,17846,331211,421837
272,542098,671421,408426,33168,119789,196846,672600
273,669207,450366,541237,284770,506381,54181,129255
274,259794,66634,149453,697241,388770,404865,142685
275,184530,176495,211824,616590,349828,3959,269031
276,671916,362373,347939,201079,578740,188954,89152
277,343090,200079,498969,121257,694053,50971,76285
278,704219,538102,516548,610166,161852,371609,49002
279,407479,245084,577504,719907,557659,450168,2971
280,446310,211667,167858,662899,368313,473080,402552
281,176450,715733,525193,279005,621560,101708,175334
282,421113,352588,300823,88742,376399,688182,17554
283,216793,636322,150655,237779,689136,60441,651664
284,196819,587979,357596,507907,384065,298511,638534
285,719525,261247,623608,712311,693797,528594,495711
286,700211,122633,176248,21904,325926,563985,314303
287,606296,51298,162743,277249,302290,416724,259761
288,442084,435040,524699,425088,378720,8585,60243
289,264719,657689,531955,560567,577219,562232,650772
290,673464,490193,198892,244251,56382,76532,464306
291,180959,123330,710129,478749,178161,238459,93695
292,197329,210121,676367,52917,146665,364440,563846
293,9603,496005,53920,386209,467062,282826,498132
294,155854,532594,111656,238037,383459,656376,217820
295,316312,703755,410420,334250,520942,81772,640504
296,571838,479982,85558,208795,573027,126655,92275
297,396339,540027,325173,366168,632443,484207,454824
298,460645,134775,410345,655030,392243,480518,449420
299,258722,333958,105732,226259,446597,32649,58467
300,700532,85095,135174,669505,577279,509602,352579
301,250910,669030,66234,490524,324844,54299,435432
302,664031,54595,13482,180544,545762,21944,686922
303,489371,367110,436026,369592,468441,457729,27144
304,98002,129535,492954,27093,182766,26990,416320
305,98042,53801,530001,402272,392357,117385,54936
306,566099,181473,9235,642614,157075,705090,137951
307,282917,211417,354302,93291,601131,69707,478873
308,329404,90409,84867,350675,598575,618121,327980
309,231667,518882,312389,393484,493858,52044,93935
310,708954,83692,293315,353898,119815,275012,671366
311,688523,195712,488949,637756,485112,411539,388021
312,606563,130990,605165,248745,281634,699130,410580
313,607973,635008,426682,689862,218789,514079,17107
314,33169,67626,327390,475569,156612,69623,156626
315,184376,287054,243792,226804,403097,565055,286976
316,144955,235108,229059,151995,15002,285596,568323
317,29156,17209,137710,193199,706478,666782,479986
318,406494,470003,123513,31371,461069,60693,609192
319,304417,624678,45389,355850,155456,293245,437360
320,669712,619387,188363,54364,495248,192624,556869
321,262109,173563,306555,710547,64173,70301,553895
322,590262,701397,117903,42254,456683,561782,216284
323,88427,45475,230161,353164,2087,395045,651973
324,632245,401568,421846,649957,659725,368034,96512
325,447179,487712,257970,97939,361457,638273,484823
326,694790,420339,60240,86401,633790,526979,420872
327,600139,601282,369829,104334,649968,594892,249656
328,384852,290801,504675,271775,649740,351011,584589
329,355859,436499,243333,403313,206574,588262,501090
330,479225,391458,181356,27849,386045,716559,560862
331,654535,251411,524446,530367,666360,197678,511100
332,518771,164771,100009,71527,201094,585560,553608
333,142751,297865,475719,128175,247957,400713,606029
334,720735,7597,136438,536543,710713,499292,588154
335,505872,485138,298915,573912,386560,621485,574664
336,129846,584245,577562,301655,574222,147194,31428
337,230509,566463,126965,194698,648753,45863,292540
338,603249,267612,306385,294928,434301,399795,227253
339,75458,230625,21059,253416,455335,378193,509863
340,574510,557520,316155,6055,548509,58807,309130
341,332348,530917,677914,301563,277601,333510,209729
342,549522,338714,517251,479519,205306,585297,599715
343,243416,359648,463707,195921,596516,43769,308762
344,543066,267844,588741,469863,517516,288211,149448
345,88850,187539,299161,44989,134741,455332,46827
346,349186,705800,254807,290163,142447,714517,502622
347,109838,312695,221359,623788,58852,472721,203647
348,284166,584026,583728,570584,163863,577265,39097
349,257777,667513,29953,375597,513460,305074,403712
350,107705,15202,458908,437755,129337,110089,562534
351,111187,250264,392689,696472,614477,693753,607043
352,359376,330089,108235,377991,37444,627142,451806
353,148737,543468,190698,392225,271264,393346,154891
354,45184,533332,315326,379275,680790,479602,133347
355,105294,722612,487784,161827,453249,563164,101949
356,547516,632985,638654,229095,336353,42033,143373
357,428626,482939,512920,339471,531040,81607,519659
358,9195,368068,531785,510657,80301,539450,329198
359,566492,116064,139679,330166,717523,447257,647059
360,383628,348213,501132,361985,118038,400839,220714
361,77873,377316,148395,685123,147716,629338,681570
362,535727,284719,491071,316655,480983,652257,90962
363,5232,294150,689172,660851,569317,644091,641295
364,241679,65368,573944,89369,311882,594857,175827
365,301353,219912,586635,661739,598157,232455,63610
366,102844,335929,638347,673717,66432,214724,110925
367,169393,129992,85475,244299,477131,471884,383485
368,269355,70583,489582,489293,708139,637696,589264
369,259768,143089,282488,303970,10150,590879,590729
370,715048,50291,291249,295271,410664,79512,160065
371,547026,221478,329339,208514,489316,691853,139867
372,485820,285564,224255,221235,276747,500308,192359
373,474891,508767,497553,674805,678531,211802,59142
374,210329,169835,345890,328034,308884,408418,75061
375,509825,299883,250063,633642,331283,71986,34544
376,125785,638295,5657,71198,680293,452369,262601
377,193747,330350,594758,189822,259250,491373,464143
378,543864,542524,453425,269787,170289,598410,337521
379,57290,44300,380664,488830,87810,189362,274270
380,340882,649478,62391,257375,347701,374974,130070
381,237778,406960,682626,104343,133998,288773,520755
382,598968,309636,627655,319647,201614,653686,51570
383,247602,206548,550008,447585,279663,383021,699862
384,679587,270090,585468,392248,289305,37598,369063
385,695077,451404,485068,185996,648710,578288,397095
386,548864,43298,628694,426127,493260,607539,580584
387,44818,516232,245536,477055,157485,142588,409265
388,555669,323610,374816,417349,507992,90501,124141
389,380065,477008,429362,642926,621786,402320,703480
390,211428,116304,43885,295566,722128,591725,508242
391,594896,261081,422307,514579,228582,473734,114142
392,577799,57434,188050,253745,705674,663398,647197
393,610039,477797,451121,466751,305208,288728,423740
394,338912,685299,79294,273352,489554,335507,720242
395,138884,207515,414245,693683,99901,97264,50911
396,92788,48026,620973,53424,621867,149695,597104
397,152966,83761,508876,202794,54383,707060,337675
398,332088,476021,307153,684658,345015,179581,224761
399,197281,123390,551211,319093,313678,451759,686299
400,708191,395901,237560,68596,101183,719466,479032
401,336171,28753,143021,152226,31295,241027,256346
402,185453,692992,144730,633348,301808,500523,142251
403,603696,1057,123090,456604,378099,604978,57011
404,605495,8664,692948,163008,82812,610154,645349
405,607252,111404,167966,689399,286450,335173,633653
406,67938,519462,420041,130667,652415,166833,310364
407,682767,640030,186078,78760,75904,381168,94216
408,565103,261433,435703,320988,465196,414172,292627
409,33887,438376,86675,41349,117090,248893,218170
410,105314,464047,696195,419050,127137,301097,448555
411,377099,534277,516406,74746,532213,420341,242282
412,704863,701640,237627,54684,412319,639346,487023
413,253818,598494,304052,452666,198750,361887,524380
414,509135,611244,170427,583024,617314,318268,36433
415,322133,501794,348985,382667,205087,60908,237323
416,550888,341906,306827,440759,599782,428101,90330
417,143710,489755,640981,170269,418703,3783,168430
418,82307,463524,315345,139222,105397,54347,41890
419,395955,20020,722175,272226,354449,479786,694188
420,518986,142923,419834,538031,407248,453926,131039
421,321554,576054,611800,293039,154285,46299,172222
422,6303,329775,236299,451617,588197,144568,559406
423,450664,12393,208584,447770,9740,58369,179138
424,203006,28343,396257,512571,7054,361920,161201
425,504850,586933,526219,424808,195652,497271,424660
426,251793,124071,621749,181525,633220,298751,690230
427,413095,451326,150904,434821,98013,405781,679781
428,717878,314903,15423,686258,141730,133560,299242
429,376355,151347,314509,67604,666842,707463,89717
430,219520,56954,117061,693090,435609,328490,377140
431,214519,506046,98843,473069,375752,443731,514179
432,250176,599319,112734,615340,389055,370059,2988
433,668645,505292,148829,663722,176421,20732,553090
434,1442,546652,523647,598176,440817,36235,275932
435,249162,309445,106942,720879,697240,641525,91191
436,403202,310293,217515,537734,658139,467555,349111
437,33237,653817,406556,203671,443158,592539,327591
438,22678,315152,55721,615511,481044,33709,410843
439,716996,316497,375689,538466,171524,394155,55774
440,84033,610962,497762,618503,163791,559699,622821
441,259817,710854,618395,272277,510339,551412,581718
442,21727,401186,586186,190406,682205,175752,276023
443,131626,494069,622548,174050,80922,406708,296374
444,328778,490386,609196,516450,37849,534494,249105
445,580919,229509,704954,313080,196919,604234,285202
446,265008,438299,225363,17704,457376,300542,598545
447,655816,286320,591315,643758,543349,63220,504442
448,630035,122667,527399,49537,411323,91898,95979
449,470399,235778,289243,220759,566069,169030,427621
450,389674,209070,667812,619382,617740,614063,188360
451,471470,335856,463849,557485,109665,515325,290963
452,539864,14078,638764,131520,519045,49601,202907
453,514385,259889,84967,149415,259701,490558,22689
454,262008,416654,25454,483411,509723,66197,240062
455,474423,181520,21635,603445,242867,249069,584751
456,376087,443208,245571,472781,351347,97774,528751
457,322884,250219,472957,262949,491994,331037,18529
458,292605,630252,364279,548558,354030,220729,363165
459,549895,391650,276215,565993,353510,567219,154046
460,676587,151720,73137,471100,98915,225399,319173
461,318075,485599,237389,385463,322399,221688,715027
462,338632,667950,666902,146858,62143,127920,371859
463,113768,193707,689713,519417,426903,368704,723212
464,620142,107413,678698,55893,79036,44677,506160
465,30708,261693,448751,464348,708710,376489,295057
466,437578,206822,408654,194537,477087,330732,499548
467,643570,275826,405365,103215,397653,421827,273545
468,241999,210692,125546,614475,259977,53183,570238
469,80523,691048,323095,58731,155937,229080,721281
470,660235,307353,437975,276321,362223,466228,414143
471,417766,532397,618856,591395,261412,265031,30586
472,397009,538460,272697,6291,260346,107296,316573
473,193432,392635,566490,543103,105796,337922,275815
474,124748,588055,422341,442343,99187,381584,186581
475,291996,662680,63822,360097,134367,651063,461914
476,155375,439817,359302,188060,294515,564929,503458
477,655017,48197,674444,274985,611560,479234,345268
478,586261,693945,638063,62882,283667,384546,252603
479,546327,469512,369261,604738,261896,475624,230196
480,130110,548238,676574,634533,554849,159058,54577
481,693345,297448,430885,58097,645376,28282,249562
482,717427,537838,631936,665985,698025,45805,185753
483,691754,228624,581200,199652,670093,679231,42593
484,608513,385356,679728,69009,177888,4801,113614
485,508372,88256,110625,638229,118994,86223,705966
486,335180,402944,55362,502886,489927,401525,525103
487,89037,306597,108815,377584,440296,268472,543557
488,60290,173807,352173,647766,533396,152708,190850
489,40605,230238,565381,191533,168294,148692,344439
490,470070,362067,500212,14112,517050,579049,86080
491,9756,416290,133465,577198,2052,501517,513517
492,688022,399852,121339,642615,438576,523701,200565
493,29134,141206,319383,520384,484793,101753,502466
494,21821,100232,673836,287642,89676,15899,262594
495,96482,112868,251819,252386,344591,401778,432250
496,429720,179841,707390,698030,451340,445634,302097
497,359511,574999,454042,131104,523690,424429,493750
498,286597,287160,498511,663749,691747,8284,246839
499,13027,208322,467444,492661,396637,80024,389830
500,396380,426072,678357,634084,653405,717652,549327
501,462659,605477,717595,12629,1095,702013,470732
502,219861,349223,534566,678741,108554,567180,19413
503,492940,184591,469407,644101,127660,296447,127654
504,388485,333282,650159,280039,229773,13084,668154
505,106376,38635,45708,119107,458963,118178,169140
506,629415,556588,603453,429887,658884,693247,193242
507,578896,625218,70648,220145,628066,19934,373072
508,545177,99840,415810,343018,609613,31711,468012
509,695504,640457,246356,270442,414198,669041,184449
510,509577,404290,400238,283284,377047,175935,67710
511,53317,53174,554220,235571,366686,229703,176441
512,373716,339512,542131,223176,72351,591747,590162
513,45082,644621,307124,560121,220703,540488,341429
514,519359,438365,66619,571261,297876,652378,260989
515,474840,113169,199831,610974,246320,645549,619604
516,228496,90918,343282,178829,327720,161086,394970
517,663353,704162,308478,94659,169560,183854,615626
518,8220,162149,297709,54406,636237,323544,198271
519,197206,239475,569062,723031,225527,251888,376013
520,140464,50141,567893,12675,376702,565039,186043
521,566752,577779,334022,165064,551726,256936,294678
522,716088,719136,357896,196793,169250,5240,188501
523,478977,362736,300641,347237,458053,622783,410951
524,509534,151918,367713,271215,474529,81740,539288
525,639925,368268,617224,448722,515866,707084,660154
526,109617,457757,622686,297377,136073,28316,574472
527,220940,390873,620823,153422,53862,446126,316355
528,517945,286394,325689,262473,484922,690906,76622
529,630104,360512,486019,49563,214130,655909,160923
530,716548,682804,478226,56465,17375,323629,339155
531,373635,48674,539715,548980,152751,605968,58897
532,605615,510120,555249,111412,374477,461373,212545
533,186824,348733,704651,367265,481050,617700,160266
534,457553,690437,291569,143488,626859,574764,683296
535,598098,559543,464211,189879,628593,176696,376846
536,68005,653620,176819,368207,234060,481261,308978
537,257478,689889,650808,377883,71309,338031,422770
538,540286,603635,654264,266571,295489,216470,218468
539,174927,717169,693791,515625,253885,180017,143539
540,299602,123222,146303,103693,466308,332357,344871
541,686215,242082,421675,357262,576701,309783,16814
542,211465,73593,47394,188079,512953,564063,460209
543,155473,57836,140584,82916,597227,328228,530560
544,66260,470119,426810,200618,49071,530537,552691
545,220390,170296,329880,421120,172621,580665,321719
546,226359,75784,86297,161021,718793,298962,671496
547,113190,308706,703052,638168,665230,352625,119451
548,123694,108579,653855,681091,611189,37962,380564
549,435871,303924,228391,526161,692280,495498,668065
550,368848,375535,223062,688304,567172,474494,52740
551,557845,435469,612097,165344,33498,463812,350680
552,375089,662092,300345,224641,228173,721526,597160
553,382576,315757,520581,667867,110460,594117,577975
554,193340,540009,116842,208588,611596,61789,391532
555,511557,544916,21707,467213,122607,599042,422888
556,307839,660588,237838,721896,444541,426212,254270
557,607797,665066,314204,592230,105028,226944,350409
558,279433,448015,451229,350750,371047,605693,427461
559,350471,506367,15092,343851,518329,257285,201722
560,232956,70284,293476,703815,77721,471518,430723
561,64698,498287,574384,478649,136588,91139,20144
562,350716,612898,426839,183594,544515,478634,201290
563,107732,373214,452149,443239,316939,91696,311239
564,334124,535820,147964,299342,474239,60145,462123
565,49495,55786,311155,586414,639513,467008,373332
566,630888,645847,643993,85773,447050,86872,114698
567,199723,68975,104310,609677,122862,631618,627184
568,192297,222018,144092,142743,12190,475953,562746
569,126468,441878,364795,9406,203241,173609,677975
570,570583,71356,545616,531526,89042,135660,268204
571,433845,522352,374673,590205,272684,462971,414369
572,170966,283993,652566,544885,587182,679918,609368
573,261666,467244,358444,441055,93030,349260,628187
574,150781,5996,398077,592088,685466,78647,430201
575,365065,453805,442330,56882,450688,523271,77925
576,652709,371935,329902,499648,42128,209641,670713
577,97469,603585,333991,442475,239039,175484,291100
578,139159,505482,484840,588529,252521,195164,93124
579,116238,132802,203240,331110,221565,272888,232938
580,473376,160566,379045,684284,486612,310155,679406
581,499167,563631,445606,97154,79227,377205,671269
582,315711,256464,153818,562117,508037,230081,147108
583,215468,598081,152791,330792,676290,646804,341791
584,642650,358239,247901,514563,240911,420925,223071
585,365530,440873,674283,391752,67995,65319,593004
586,641140,631772,437369,582657,658801,490741,98516
587,233621,137911,553349,413861,668369,15943,4521
588,666569,529451,711326,2255,492864,396674,28474
589,310709,567573,325136,231696,243777,637636,650275
590,556805,400988,671182,397958,118787,415108,341029
591,569650,541737,641539,657562,542364,39318,621799
592,505763,467312,448387,472430,86387,317176,690480
593,572432,512753,372508,213250,403378,332188,160761
594,633574,271656,447954,206386,138715,291362,43875
595,277587,670422,181702,651487,447302,327710,357079
596,128214,635159,98549,316109,184674,56674,678624
597,234661,384251,630974,622682,355730,272974,43886
598,478128,276864,197257,438531,70263,180769,554485
599,90739,43506,263926,580411,570113,587965,74849
600,667981,568878,122161,372250,328616,167157,232370
601,58057,61071,617908,266164,53302,674580,216544
602,105808,275754,182660,808,496930,179394,211950
603,411767,504714,448400,548445,511156,249775,418748
604,108817,21753,622389,193236,528176,495065,596347
605,260729,394089,112578,339110,715075,644164,683626
