,iter0,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10
98,923798,321178,244414,169536,851454,977272,1467267,1403695,1141661,1449301,1238094
99,606674,186961,1343964,35288,630360,112661,567393,241660,638614,1236475,555048
100,1403228,842063,1271407,600624,1337826,624826,1156932,1355221,498261,1004970,1048931
101,765358,172978,794698,967477,664602,1053802,725230,831440,752779,952401,1264848
102,1253548,1353734,1242057,1254022,15504,677579,874825,712957,92689,169549,1177297
103,962493,867556,535954,1109006,425808,702889,1001076,857189,1461107,1029096,545093
104,128458,1091324,114928,1071620,921935,853397,967522,65817,607595,151564,1324572
105,600358,1094650,1040352,737912,368473,1469889,546048,1407810,1366237,154723,791266
106,845666,310830,753721,990717,1050214,1464210,446843,816666,1388398,319295,371265
107,796936,153348,731230,905857,199468,1075430,387600,1033189,132979,263966,74009
108,448978,83901,1379639,308395,395911,1162593,363992,1017165,104420,394099,220960
109,727672,1399030,874670,460357,671173,870593,1372912,1401246,584798,495656,1458570
110,922732,1124927,1416593,1290673,662594,429094,1031175,1319242,766825,1100479,1090521
111,1222122,568884,780067,774269,613026,421056,693020,682264,336770,332227,600740
112,432584,1170300,140100,110984,872035,1064171,522192,438567,1437847,329170,295219
113,120253,1405203,1029425,696999,1211127,883026,1277834,940754,265085,966949,258812
114,804306,1203786,448011,855221,371744,1012969,1270634,924923,1444954,928821,128188
115,1163356,240444,787722,190313,1435113,41898,667073,637823,874121,889236,193869
116,176282,893871,352180,1204764,154197,1422132,1330620,1376544,867023,1315099,145218
117,1375455,835651,517623,948088,1408479,150907,286120,41549,522551,825148,182090
118,1383639,83330,1369613,1166701,653321,853754,973515,73929,536950,1327154,1273505
119,319336,97811,251984,971945,883765,1423035,666970,924605,886186,714771,781232
120,903035,712521,490154,128073,43878,405948,1168536,1281931,341797,64126,607246
121,479221,837506,44191,539353,1290294,672217,1350678,759340,1160543,1057908,417340
122,83912,308036,623389,166345,1125441,699220,1086436,563350,106335,328402,371155
123,295226,23871,670957,789291,300506,704698,496246,740131,850149,1141844,793480
124,406082,390772,249130,1284838,403065,119820,1213899,501297,852710,277815,1097054
125,1213325,1302215,309694,700822,1427262,237855,707792,421842,212337,964903,581747
126,188654,49672,477313,1169644,550319,862288,202700,839610,1266761,1157609,450095
127,189346,891134,608707,651657,310789,1149272,1135719,975347,745351,548869,835831
128,337417,405488,670155,661249,958630,1414235,175352,77624,431503,939801,843875
129,707017,50740,752635,428787,1142017,218977,107049,1429714,1261393,1318520,1141056
130,663159,1070879,191506,576435,837807,1092116,1268832,692524,1291659,70155,1021917
131,113690,1106022,12191,1074410,629559,1212155,738734,359654,1294159,393129,805483
132,71091,412990,606568,815129,705405,550705,1411662,150529,925627,387166,973999
133,172872,213218,972150,1258575,738971,1186930,210996,751197,529600,187933,885234
134,283243,967647,738795,905959,1408068,935997,78256,1304024,1043177,924695,1311408
135,609695,1300022,1341917,569589,274974,510081,594635,882217,472475,1224008,797064
136,1224475,1075146,542369,119228,4191,836737,266973,876619,858977,1143130,1110874
137,662691,461699,296394,625327,1339851,382884,1369955,624195,545190,1368711,726227
138,1461231,1395919,1465077,1186252,319220,907435,927650,1212974,320206,1353718,1045679
139,959872,1418457,588407,677645,521809,356544,252688,735588,1457673,648154,65948
140,1358176,749929,126429,799854,991548,798324,499195,1319347,910155,633817,570615
141,59642,1227041,586311,1337711,1108509,618533,346237,1209968,423912,1387734,218570
142,373535,250921,397197,845567,1358367,190853,1234120,917085,923379,620783,533102
143,322690,360154,1111554,1345984,99454,1026188,266211,791271,1248379,120521,1197976
144,1348349,1324047,1384767,573690,657498,277151,258721,303455,1366676,1317515,1458711
145,833227,251678,26344,1422231,1289809,259576,1446856,1253428,1055018,644383,256706
146,48237,1021857,830195,715488,865909,1337278,552660,385519,1332982,58777,129885
147,540332,748373,848628,814382,1269854,992421,5751,323653,1167838,1418018,1035030
148,719365,38165,356011,581571,633664,998820,355366,418837,330156,1231012,328801
149,1199649,944716,639604,323747,524261,982004,1024301,136408,1023494,411106,1448435
150,173786,842670,1204116,879396,924889,353918,1219112,1469602,540408,655433,1104952
151,219355,615518,1071418,133688,1008345,408814,470118,142554,106923,346780,344149
152,1217919,325516,982891,1165142,1184826,180604,752214,1163301,317552,1008668,18462
153,82896,1078324,1376738,531756,1447631,1114907,851059,589819,233902,773304,1299995
154,877286,7069,460167,1265815,1296633,984728,562848,1041705,438492,1375414,739105
155,212793,306048,208275,210861,19709,667688,280753,972589,539520,297348,800532
156,1178942,328498,851604,859213,726456,208572,1329388,1373323,499745,845453,801775
157,910870,311395,1255536,620614,1014186,871984,377131,985929,410146,487885,181797
158,580196,1052815,1702,1192073,306597,486027,1070885,1177200,1353690,693920,400034
159,71165,177626,801507,1438755,960715,567310,870851,476067,569619,868030,752639
160,651979,1281780,1026621,559327,237483,326990,1289621,910518,1229920,1139157,585896
161,292944,693056,830327,1425503,317962,565509,134902,1072611,302769,809258,674768
162,176978,1389187,1277941,1374502,601208,636456,539148,979379,204105,901377,1368295
163,1005067,185312,959804,76512,686339,1458102,367854,779557,1378033,861651,54912
164,1142955,124988,79821,776882,1002730,804725,1269047,373338,1124974,119976,1014798
165,1160192,1221504,1140406,1085575,753795,891697,77721,1126402,1080881,188925,188187
166,896672,413007,918776,1343223,376209,1147842,953613,1431128,921587,1130168,148685
167,930195,1181636,440330,346381,204306,1444185,894540,616341,831524,654837,499769
168,594288,566418,796525,843998,1253744,79026,241275,400513,388341,315626,428544
169,512095,794043,17818,932407,773255,621942,438385,1142013,904206,158789,4237
170,164707,1414490,224858,1444913,906514,529626,595006,927587,1427187,265657,544105
171,1390047,1270962,461206,686854,39201,5639,346870,1103337,192312,1095058,1180945
172,514373,1058982,1187743,269222,9312,52655,727513,1045280,570445,1208040,679142
173,594948,819066,32807,1088759,873660,1308906,367942,1049599,1125430,1287084,973659
174,827274,256958,1387665,405583,547387,124355,289387,1395874,714533,1180278,399861
175,1226702,136525,472663,345561,436935,499972,435154,795739,119298,511028,1402046
176,769270,14445,378816,670980,13766,1073423,220021,281336,380400,1333489,978720
177,1034341,964463,674152,841604,690312,690164,594058,706831,1347381,684990,441891
178,361395,585177,1372915,217510,1436067,1025236,967981,1464601,625649,591043,1033411
179,862929,256453,140857,791183,922445,961876,730088,1287511,958290,1211857,300261
180,1200092,884565,1258561,238147,756104,1071431,1122057,1354349,291241,286922,1217759
181,1259498,1436380,368464,873132,1241314,421125,201957,874851,688566,625764,802251
182,1412899,1113448,1408732,447364,781711,809768,157008,1375931,928031,315825,698079
183,1061158,547159,219348,1148721,1148875,1067604,1196189,549407,635728,1135664,1309502
184,79505,82606,893105,1412707,1161815,597986,580781,1172226,643524,123296,1233091
185,385481,617768,1458811,874186,859133,671853,922292,568346,793984,1234533,713473
186,864609,1332033,163648,1135990,1105822,164893,6427,587989,752633,31290,215254
187,327990,610430,801252,107533,69915,103715,657353,756414,562593,1238961,736291
188,390842,30951,1170831,574796,444244,487434,66442,784698,1294167,790788,604815
189,628489,691593,430800,23944,783356,1034385,213779,227375,1188207,840159,372507
190,119506,1058222,1251378,905936,1201523,798586,223596,102725,795042,1472521,1164409
191,369205,46294,1331698,616698,889,463190,1399802,873190,323191,1056328,204749
192,661559,191032,1024513,101080,598016,1457946,1323265,1456770,243431,281223,764582
193,1263266,766174,342724,1331618,965288,1251076,299910,1284275,808192,16642,58181
194,338741,568285,442434,608853,1016536,204574,604084,37168,957369,367169,1397311
195,482358,1110881,1047918,520000,1102437,504737,966234,934141,196723,521930,584979
196,543985,654960,137737,185290,416346,1013980,803578,106387,1353767,1312202,763829
197,83722,1136895,1432438,1362436,377605,511027,925799,1202000,1149435,107517,1223383
198,1070219,1139459,94317,1378969,1007769,1116083,469453,847429,1262179,84881,251242
199,287217,65603,768071,871384,742564,1316391,746214,112834,544065,1294670,1359649
200,1431752,259134,148403,240213,570456,428116,1323041,555773,1392098,167395,905677
201,601468,1225847,938173,1211325,75018,1075613,1116223,501223,503275,265769,146969
202,1299,1027932,582549,523428,1365872,386329,741384,304618,1104324,165909,394166
203,1076013,1395522,908162,687572,185385,1409728,514230,1105377,480341,272354,500076
204,267216,673284,889419,861946,766051,582792,1154477,1355097,636417,17226,1274955
205,323333,404416,1059962,841088,678858,1447642,871288,1452449,827430,1334239,979002
206,1457691,1201784,638674,881646,608686,914871,795201,19924,402334,887798,429121
207,1015023,992546,1213534,587907,497943,1146034,603673,862269,753107,201100,454856
208,125630,310222,298950,306783,1318874,429032,796734,285514,623941,405110,785506
209,1190681,550041,129863,1212267,1142824,919636,672959,1060524,935643,1341981,1211262
210,214621,765202,1337582,480354,1344774,473962,852826,1130298,222770,1210623,1327414
211,1207677,749968,1200193,822515,1218675,67164,755332,822849,1143468,1462710,524506
212,619631,375774,1057866,1323969,944940,1187644,1428777,1292513,1151661,260523,155940
213,1065538,1006178,261751,1372793,779939,250919,1457375,1109276,873892,1317460,709334
214,692062,771917,1179475,280765,261777,641903,1456204,623322,846135,1419319,93201
215,866027,756086,313537,1429922,772914,343190,963768,1166752,315767,1285873,715016
216,924523,85869,9082,1145519,1056903,775712,188899,615451,1207680,669011,1188086
217,54144,744238,587106,577854,1372957,1005744,648149,197000,762992,877023,582527
218,986569,1378404,958567,69810,865023,642078,1423672,22269,1035017,1352250,1232267
219,780932,373652,415950,625037,870533,372433,1402905,1069084,670138,425403,529231
220,383284,1103584,889091,210230,869433,1310365,582973,1406667,375624,888710,473877
221,362752,810330,179438,1250239,300824,1433068,1019224,1148622,77733,1452655,310853
222,80790,920040,513851,300718,350047,1108088,280189,120828,15586,1057513,667325
223,258534,677664,504542,240314,515875,255399,1318529,844904,967392,236999,492881
224,681765,520492,1013538,119757,218354,247675,1172719,160079,1148493,663362,52523
225,940807,1185840,880447,296138,97125,817561,1254329,115411,806149,1409296,1411231
226,408854,611905,602852,849221,987031,1184306,1457731,1063475,20134,1249187,1184966
227,18237,798735,878345,1112538,346494,930572,807260,126099,352160,476781,1211768
228,342333,93979,564650,915060,551003,341854,958329,1177639,1412200,830840,989076
229,863879,79790,754549,1432968,954371,1239544,39622,397123,1164586,110081,260070
230,659879,589038,1202215,417604,549102,787163,1230429,86833,675327,395965,142494
231,170661,367725,943891,753567,1122690,42372,929232,543292,1418351,1415992,750968
232,577601,882655,228824,34365,1370787,488174,831989,561224,1220716,662644,1217898
233,1158836,1379420,1032487,94992,346579,392387,886842,7079,1102754,283408,166730
234,327680,537331,518916,175862,586870,458933,120066,1068910,92546,4132,968539
235,939161,287333,426429,706083,157112,871760,1162661,210164,795266,1090056,993111
236,334423,1147211,839048,1368559,831080,55491,1214201,1246913,1358699,1389697,196231
237,891906,378017,487022,1424227,1309752,692768,220148,406495,1060421,1456233,1374426
238,1255298,599642,926930,1172484,99740,1032062,696365,748888,121827,449516,241729
239,64217,13474,1079693,1018686,907456,440771,423990,1260849,981441,204089,588169
240,227535,679197,847124,439678,560878,1343211,156345,370578,525560,404288,183362
241,242577,1260245,562334,214915,1129883,335527,1157467,363403,432678,509567,613554
242,895221,557695,222418,977123,54279,1468620,298416,1259605,994256,761674,1373234
243,223507,1353778,842083,373101,1081726,1244255,62094,538999,1011895,1373437,1175428
244,587449,770534,932381,966720,823724,945377,1161154,650215,870719,484601,1297288
245,716923,1262133,844707,388150,1399764,1040429,801365,1424957,1193178,511510,979561
246,248258,98676,1345037,106633,1144846,229492,643889,60646,1116852,1378109,52534
247,762374,850394,37618,894775,993834,352504,137236,119469,1134066,632084,325637
248,1277170,247517,952405,656133,651391,735575,1438957,262783,616298,861163,232599
249,415899,845329,191817,793297,1061385,1083666,314548,244870,1044976,647924,896208
250,664977,961687,274308,1001288,1367221,889806,882054,452006,1067794,1350987,804399
251,1096774,902159,1392851,167857,1007593,812766,246486,445835,868175,748432,710638
252,589951,986361,1134258,639227,526570,787635,1304528,739750,1204071,849991,864715
253,217371,1167853,439429,1258574,1440740,468304,218947,1279107,497420,536339,1250504
254,696240,899993,412779,979872,1146497,1307327,1118111,32250,764080,263623,212116
255,1268344,230101,487414,905894,695679,382433,143358,594876,1278910,1169018,1370809
256,1022911,553255,1297703,1183032,968145,992668,1218187,824583,705610,150469,1084972
257,767535,790793,412551,1129583,1348431,732434,1336471,98896,1074827,769422,450035
258,1318418,1463851,436982,587959,302487,1354585,952261,652458,74082,142329,98432
259,1314546,384835,1029676,866149,1241799,1007917,762735,1406782,28624,289484,1360480
260,742529,575095,668996,951355,294483,196540,1167616,1383767,975387,8174,1406441
261,1458716,720936,428680,824853,455161,38545,113403,946315,1430374,1045799,384895
262,180886,758467,903302,19292,687592,1264683,709084,1103522,339782,800320,173166
263,701872,1252596,737410,920821,518206,1265973,713339,1216921,506961,123655,928741
264,256768,467558,258297,750736,748884,1320744,1447816,1223540,1358506,284873,1155412
265,112827,948039,1246865,732585,1383765,1290187,133933,1277619,1416314,900326,290817
266,513184,1315936,519487,764038,665193,1367730,709348,346412,1141555,955361,674072
267,225868,690092,1238271,1332717,295974,13598,1103773,442426,554594,1027972,944574
268,443285,1401968,1080184,794067,517606,1395080,833290,1456786,1005446,1234645,55583
269,1191467,605800,743697,509104,1297742,399189,1008904,564340,304064,193104,947743
270,733660,376931,349669,1357235,1236036,1162164,1388190,185475,1189758,182361,647616
271,1437251,1051274,351455,513512,333051,827661,1454629,858531,1310622,1248932,1217876
272,198649,703425,56755,887035,675827,196477,155158,749007,253243,538472,1376442
273,1104920,918186,336968,419605,878370,510761,606182,881801,1218558,523576,1148287
274,4879,1403207,1330371,89442,365061,280724,157756,1410664,1361862,1094143,1230205
275,631771,1153873,959616,706490,1103878,851471,1387450,811908,510290,1463036,1443425
276,670935,1407837,554999,1009125,46988,1085200,626322,741697,626843,929389,412817
277,884343,529768,515187,794592,1395184,1133758,640644,958599,483673,706884,738292
278,359133,821847,1391284,186142,1043618,420962,617614,379982,310524,351921,669171
279,247256,938445,1140802,684619,1023301,619804,127210,22467,909095,139304,690039
280,81350,632229,1402595,1026102,1126254,1141542,1270374,103498,989265,308097,714108
281,1430028,532478,1200452,512020,53947,466078,492675,729644,51324,722364,1384278
282,1155299,1191756,1168459,998550,912901,213192,54459,1023127,21120,858878,1378459
283,617461,658986,1207214,811831,743303,523376,360816,1412757,1123725,32057,874390
284,234951,477278,1418036,1090529,177153,715262,61054,1247416,801901,452803,554615
285,1050915,1460268,1259650,318449,84063,957835,1266672,707398,20839,1449197,1392015
286,606729,585305,26766,783907,233318,1121834,596282,925538,594439,770057,1150595
287,1227238,874472,1368438,376020,1017676,657570,1377397,820787,422165,1078114,185524
288,961818,1212789,7582,692873,958091,595446,1283567,1066176,1236927,845602,91317
289,494964,1001069,1303211,334654,475018,313867,1170993,982658,1259305,1235779,1206684
290,1419595,40791,1142638,730884,68815,125958,1037933,711197,791541,646801,1024793
291,1325896,1353454,280025,482793,106697,288621,640533,1434333,821889,962167,315267
292,847147,764512,315810,1252695,1461810,777544,672044,450406,105024,694578,653976
293,812293,1154208,689265,99512,379208,263049,703909,1378147,903703,730542,512812
294,575000,1102747,915693,1310467,16881,916848,1364403,906225,392702,198134,863510
295,74335,473205,1204884,74965,1002965,1433863,553117,617089,675480,227666,1162560
296,337592,353085,872039,1381221,440111,477825,68449,638617,879495,305859,635973
297,366625,707517,819704,1219336,669669,1013037,827266,681320,1104363,1390355,439797
298,833554,175738,981484,996635,369874,649285,955269,1188695,120552,1341601,280671
299,925804,796786,352948,579470,1427622,1313047,496938,838118,139162,1059143,469940
300,837687,1120633,162793,1137291,1343111,459489,420036,1170030,1466273,423127,773064
301,715514,313717,1459141,65314,571522,429609,1312149,335526,137232,979850,617370
302,1324736,49506,839626,337841,148900,553477,1217214,1115351,359363,833028,1016446
303,1275621,1035506,1355194,234739,799718,206940,1014055,407233,237367,1289205,764150
304,1226116,1322746,342131,1317401,71325,3832,935065,401551,1059745,73865,830473
305,1061308,299436,822039,12862,420567,57899,172681,878136,845174,1322015,438515
306,1142904,1338034,476425,40252,1464472,217297,1229860,1388193,402645,92722,1333654
307,603826,1427457,1276368,883477,656509,155646,1099573,37589,532251,587766,1059682
308,121693,279220,1342705,373767,1309722,1211273,925365,1202651,104353,136536,651157
309,102521,1015247,336217,1136072,28895,1299886,616069,385855,70842,918951,803576
310,604784,1217384,695753,224474,722545,783272,1152042,716717,408396,1301666,757145
311,590007,218933,585984,593419,483455,952454,1300861,1290964,925839,770740,72541
312,974410,1047320,635232,350,1065250,54791,34287,204717,755587,562041,742034
313,1330998,258647,962935,467458,791368,573775,338866,3517,320920,379265,874143
314,1196665,788768,1084409,572805,181385,919066,777301,876569,473443,641111,738779
315,593124,647960,793492,1160130,1042540,339429,1054919,1094710,256014,433814,1127710
316,629803,876118,658052,971141,257916,103448,1344918,1191122,706547,1387524,1009362
317,994493,1048654,858914,805748,602843,1105943,1079271,559043,488473,1218898,1380677
318,1178527,1455167,754107,1221377,132582,848905,331253,1132791,1151986,1318981,612953
319,960728,1309569,1184330,1439626,189068,901729,23611,1103519,424999,958681,751290
320,78804,131403,183500,11598,172178,230849,1216791,155825,780999,292548,1415394
321,698774,732865,85533,675517,346995,1127099,1079053,300763,843081,1074072,1359551
322,1134231,922864,379997,550022,524247,605610,1187732,366762,1211891,979558,60127
323,1294865,227062,1022005,1044458,1085126,414301,783714,178722,807467,386155,257653
324,1362228,1277120,639060,590062,592471,609451,517873,523522,648643,753918,260305
325,886026,974362,600055,1072272,1241694,184876,563940,1298372,542697,17283,590064
326,1414358,1310393,450414,252157,935735,468386,774127,708983,992812,372756,1042299
327,1333381,782830,1378064,700498,538031,69623,86498,341619,513959,1018494,1254677
328,597461,791399,1470874,805444,23856,1451328,1028844,983288,916606,578803,351692
329,735349,679591,883440,1254937,945290,812099,17701,62639,236014,1046840,760414
330,752207,979756,248970,963679,671555,1169253,170552,1294616,1398285,693322,1006602
331,869123,738892,698011,1300998,767014,836144,135440,907015,64182,1202331,337375
332,381804,528923,1279974,1357185,147888,1325758,1131059,597878,402771,1463081,595418
333,505287,585391,6324,215101,240124,1080561,357205,198417,956294,886462,1354902
334,1204807,45679,1412515,720960,335235,44239,1088828,151527,55155,1417868,84235
335,929109,114295,870272,256263,240970,314967,1067185,109106,482848,934071,818195
336,221276,1471304,1240905,749139,661892,868366,1192602,1167163,754663,96007,916947
337,1001402,984782,803303,836547,837758,585259,1404828,1359164,1009566,1373549,1289524
338,1346029,570994,521713,729562,323075,824781,843884,369033,1263444,761973,586851
339,513778,330642,1269856,1457781,504976,1344617,867067,936736,1120748,996830,1185750
340,1062276,577086,941004,1217439,1277809,1471085,945881,113931,953730,1372027,1398264
341,1181770,1309367,915249,792942,1191543,418810,636466,185439,309648,1194962,402897
342,1310754,631778,1365424,480228,1024039,1279639,738326,1276399,608015,804135,362133
343,685854,70456,870804,442595,1202682,771441,1032939,560986,153057,1056057,1171611
344,925011,1431514,473741,778190,1178042,919876,1114194,1457754,171380,932028,462877
345,1277507,1429560,223874,1283050,832103,626306,731121,686462,762610,620809,621211
346,833363,1227602,799257,1286714,801650,123271,1381235,673760,649403,465732,540597
347,776421,1145503,362132,269497,473199,527933,914723,795468,221820,1331079,1329693
348,1448504,1386744,664688,787312,732499,1450881,1076191,781870,174077,950258,489902
349,186452,1313493,957108,805939,804828,1461098,162788,664184,998082,618098,161826
350,14314,1400895,858994,1072429,695083,44299,897286,1100859,1215990,446880,1171825
351,132722,50108,678767,1392291,1075437,1327902,1110065,1244312,689786,1119276,1129126
352,521405,1053876,60898,1224885,19061,1385040,1367012,1185127,778907,189560,561582
353,20558,39995,875203,419462,681777,485409,907694,186168,1265540,1023265,177790
354,276648,820561,90942,174854,1342831,87979,1351483,588761,307532,1389458,193030
355,466063,436292,487255,1116331,753757,497975,568389,792274,1211790,1014302,1436279
356,1304022,724805,145162,215294,746835,1188232,437466,773222,1441117,1002185,501944
357,806814,1161794,711194,923488,886127,1081419,1387229,425799,799035,209864,398020
358,870493,436345,1433559,872400,36493,656168,410689,1280790,812208,1442173,634876
359,547889,1125400,939691,1249643,865978,727528,898967,373800,1062756,109397,754673
360,951376,221116,1364048,423686,1183143,827362,213912,837973,1427150,347226,357439
