,iter0,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11,iter12,iter13,iter14,iter15,iter16,iter17,iter18,iter19
38,1303637,379639,1102281,176645,1461404,179305,128703,822439,470389,544150,1286581,1272028,1004605,995771,785523,1419421,311991,682224,1307334,909336
39,675875,1049355,66191,565741,697130,1277276,570945,1020461,304132,1194803,366681,968124,119195,1114141,855186,1303180,927846,357044,638976,1100665
40,858726,358728,1056751,383850,91945,409567,1323218,756585,1332452,805305,242700,27914,696342,1321144,77047,820549,27648,144351,155701,408017
41,1063743,647175,1291969,868984,218696,431358,761419,99840,31071,244857,1042695,890375,312677,57335,453358,1029137,976604,1206446,845853,1427499
42,499640,41434,119146,1114539,139761,924441,855460,380881,341372,968774,110900,194766,609751,1393460,1067531,1247707,852589,950995,260254,345016
43,1287707,436337,437011,1063289,862751,830062,1042192,302421,1399796,550397,113584,834598,24005,1251029,216933,1044913,625651,1182005,465784,227812
44,494725,537347,868983,943863,1014199,527360,1075377,924252,1365996,956804,1013745,1321183,789255,1235189,754513,1375134,1461885,473011,155827,206331
45,69846,641957,402752,1010895,954446,972637,347436,1455557,785355,1457174,381114,315395,739189,300169,819476,747884,1184024,193437,663280,844396
46,881655,654127,676947,131454,1403599,762713,382204,1004523,1226402,836087,1232764,982119,476758,1331175,784230,1364109,1069819,977564,1391736,1036369
47,366930,593888,651139,170292,1188464,61230,202952,617739,1423485,949530,927328,716349,165581,1057641,1112897,927348,692738,253234,119797,1182129
48,699903,445803,24375,108640,1048057,1462477,244680,846797,968284,1442970,194349,1199143,1471675,526991,1144633,884476,688029,120540,248951,291897
49,562426,387859,1039347,240111,664819,290127,803732,415261,744044,236023,632533,1164568,593491,1454526,52467,996911,1135875,819767,728748,99727
50,247958,1425418,360460,625066,375278,757908,330951,1099070,648934,250343,120253,1208658,1336764,1064484,86616,1398912,1324707,1379982,212903,1178240
51,1386046,953525,181486,1061294,963823,530899,516590,498371,146180,1295286,776646,160845,886903,933713,352,936357,50306,1165785,1058235,1452330
52,285535,558289,135605,1145094,15484,1010858,55702,1340486,70264,1137299,1025923,269212,1239851,396230,225897,115256,851724,151141,1109348,989384
53,260176,125304,233966,1020371,1433956,1237832,8927,1260098,377624,812576,107586,70204,396938,527234,1018637,1470061,1348608,801582,174713,59256
54,790785,285085,125641,409565,113190,136221,25162,497333,907040,879585,279872,100459,383162,442260,317545,1275970,1324722,270002,587033,847319
55,1284442,1469914,746572,109104,96532,841018,633126,470392,936117,997582,429816,1361628,174086,861253,487842,561599,1191601,198300,74426,1227617
56,649591,600343,640715,1461696,18045,302242,1223564,1153586,1377513,453484,606767,1063989,436530,784003,258823,103688,4618,1284060,269497,232971
57,1223083,324507,983685,1314289,1150411,1187702,805349,973025,888960,596886,717859,208448,507647,394640,942574,1354301,1190833,1388793,337762,529756
58,702247,829396,476238,1408788,1169393,684695,456511,1456975,700095,530103,859719,85366,1290766,1297732,1360548,1411242,1030937,544323,596044,1364372
59,135976,219069,415637,718374,923005,521286,1257469,1275333,797085,888415,468630,152425,793480,418333,1200025,1010257,1276864,1016802,1418237,525897
60,824621,923929,1287095,190915,232026,959540,175598,406026,621489,26693,138639,1100542,1279672,278151,680021,206008,1318746,429199,916699,599817
61,484111,250705,905840,659463,215471,785343,111598,889351,450373,980800,1280547,1386555,615327,584366,121279,230408,824489,1183574,393307,499615
62,523945,843004,877340,579923,1075040,326842,767403,499550,473014,636222,1183834,735477,1074896,141932,41992,945335,1378358,346592,509175,207088
63,736178,827499,1271344,479832,829750,668709,36888,678977,507533,95819,49712,260258,444500,66145,894734,1076781,1150578,556562,38734,699233
64,624581,291263,1265950,445821,385523,1470530,837401,556981,1041877,1263638,658030,51639,620877,953317,333255,1058441,380139,478411,315637,855155
65,667095,759366,690135,333421,1200842,381094,427834,567076,27817,1089826,987107,573944,811031,516095,1141456,306147,851659,101089,901482,289855
66,387493,891003,704195,964055,984073,154782,795874,267259,1172137,212873,1298566,988198,1355474,631082,388532,760896,1252940,157264,1019228,925522
67,89197,421819,313261,1179977,789882,940695,1198814,295866,1398546,1017844,1024002,297186,1362139,358284,496892,957567,734029,35063,49941,521648
68,274339,1183486,816139,737024,138512,1201891,847151,43983,294514,432067,1251806,352491,1100585,647491,470956,1265615,397645,45089,1294220,1472215
69,1458177,633757,257650,416208,1118260,1198497,175948,639865,132357,141457,992284,518902,444647,63075,842332,558089,315427,355987,1316197,451924
70,1352333,395029,214420,11098,268533,1318928,1366903,1229678,93061,524613,1454907,952314,1269033,388435,1214692,809275,463318,560142,137681,1319060
71,1019,1130276,794104,1246566,444430,502216,588780,1436464,654219,1053773,889871,968182,398481,1048036,955830,1103490,808081,196093,351178,1016940
72,838770,773304,658673,237538,665470,163412,1081561,469119,1064360,209428,163872,217822,437910,1430248,770408,474351,1306318,500601,887803,172864
73,453142,980669,1013059,992438,241673,38860,216669,1279411,1046701,441205,1150815,631803,1316855,1106777,898369,730044,1219935,404354,934177,1412367
74,1378234,357875,249337,65924,547318,1082920,799382,1265848,301855,1460679,600947,381152,397016,181254,266343,1229561,885390,168984,534365,302460
75,498013,1335443,897602,1132574,972740,42311,1339859,1068037,235885,758293,829887,1248192,9562,1247013,1463192,53230,240689,318742,962859,247084
76,609691,1103507,1282192,914405,792522,311938,462582,483888,105786,271888,281862,174537,920371,1258544,375206,1237168,1228322,549664,1255777,1072605
77,360810,169646,260039,933191,865203,1410189,1277608,768623,1195349,208755,121787,876731,604576,686426,769201,468755,916386,1284861,577420,600763
78,478797,1168589,412743,297173,758011,838450,1265816,426353,1396021,1258245,1187872,928581,131082,1377493,899408,558593,1302042,1448145,123715,1376175
79,269268,413517,359763,254096,290677,790080,1258150,1289116,1410293,642863,279208,532630,946093,1019919,184367,1096282,257735,59271,1253198,1455435
80,573643,504184,1163900,746750,480813,952992,730868,411055,1267985,1436978,504122,1083272,1394263,1325761,1160595,188146,682708,399236,1167051,1441513
81,430736,1293939,1050050,327885,501805,994878,576698,444241,1430943,936007,1254395,1379451,1453128,694665,740923,1439258,1232057,229612,1397220,531587
82,1219744,501787,1059760,863562,1425836,184082,317833,1230101,729546,66272,928480,1181550,165078,1379765,146450,1107694,1235480,413082,537775,753840
83,328177,1155794,1152304,642616,595044,1419126,465097,1251773,451882,858946,480610,1080857,883254,499873,440556,293659,36997,144514,1030847,1162271
84,1421292,213180,1214742,550088,1194026,26156,1079874,1369697,809657,511152,831203,908010,534121,1453470,1229306,372711,1215251,672572,696815,287112
85,1449708,819605,743507,312785,783877,1408836,1008954,1387221,759399,1309317,1414208,323909,116603,432213,22080,491618,412739,776556,912274,331698
86,169743,1353977,477998,227385,38292,109715,520098,1331589,1440972,931016,901693,635846,1038887,910683,68222,636605,264007,787419,1456610,833423
87,1196804,84740,1309331,260161,560534,639470,958007,1097753,524521,748037,870073,422990,1059377,1185440,843231,627142,1237018,704465,647284,675250
88,944963,1078218,1354794,1385534,708524,880401,644655,1397441,1034035,1066727,511289,353526,53223,118383,1284156,1225650,366792,1041591,969919,1245912
89,714790,944811,537872,1304864,335413,1321497,111713,1343183,1314640,1122466,199633,445225,596990,424224,809924,1079500,264256,879619,822645,689989
90,301790,598045,383471,348386,616390,1188126,286477,291214,52996,959057,436371,855458,193318,787321,61082,1365718,227900,757454,691517,940984
91,601654,519945,744080,198262,654642,1324318,343742,1445854,1272068,1199987,201392,424678,1467707,1223938,1018522,1249842,1091421,548747,726879,914242
92,683940,425097,185243,1010527,1213685,113748,1368969,207877,895661,1185330,920045,356730,1430789,1259901,1037833,1137411,132101,1310900,1130252,3356
93,573430,209933,642208,462383,187118,1027066,739365,414576,305064,1249845,1147930,941795,1612,936246,886724,393900,459119,764655,930185,1387015
94,813617,391931,514300,955481,1140285,10009,473890,80857,1287185,157326,26433,433495,320090,1263349,748036,333762,1414291,828623,792877,283778
95,234694,543825,438233,955882,755736,398686,1179990,787714,530871,792327,1145903,749191,479624,489692,162901,117098,265189,689674,845742,236295
96,445935,650894,710680,1032361,603538,62639,624555,579303,1468451,1336061,401006,1023429,1391183,76478,393385,498870,1079687,346608,410919,54472
97,120272,1253515,1403781,1432305,1083041,609677,1076018,1343970,1002661,478784,1081050,258252,221899,65951,1410178,934871,336376,827111,1242015,714218
98,326513,1225889,397897,560600,500852,790895,896500,409288,1149420,1154853,693993,764862,326237,99389,928468,1078099,88778,1037582,1065617,959486
99,235226,1459695,562795,241450,999041,161587,842685,172764,1116281,22307,1471862,1394805,532117,70386,1020301,48917,1227737,1190088,857978,64651
100,601087,819962,978473,1329600,721077,944152,649514,1006001,852424,483878,790857,456295,1250440,1076849,1235237,694248,1148894,10779,462344,990442
101,719156,748169,1258158,832686,182613,1438516,1423662,538582,709644,141244,1404799,859118,537594,1366823,700467,568078,1285555,591019,659046,325386
102,1300425,1308324,1368038,1282783,447735,95834,329251,13836,447506,180410,862065,65777,133369,1092619,326683,109096,1234695,1387775,153359,1259713
103,556501,559800,1014498,900602,523710,920940,5723,191200,804866,623219,1016916,147778,173427,1052076,356613,608296,1122270,737638,409277,372484
104,627934,1212009,808612,1306261,1200297,273095,1062794,1436715,1340641,1180872,146359,440723,746108,193315,1107849,461947,185549,783878,760608,814870
105,262951,462212,490438,420595,547259,231807,422423,117376,462352,1189981,264211,870089,1147669,1461626,621642,322063,1114991,90757,886600,224203
106,918904,1325936,1358236,334210,1043262,1357696,552145,1433549,973082,892046,915192,1391025,1019992,1015771,528874,810900,851476,335453,434539,291112
107,486611,506484,37214,1187406,240450,853143,735274,1118024,1403277,261544,795777,585298,186616,1454690,770482,419898,1428187,958920,315866,975416
108,423870,1163194,919296,688717,1415903,136593,449508,315220,1053331,1400915,1183737,1284735,8227,115303,264658,1390000,1111496,1381033,1399759,907887
109,1124646,971342,715468,488781,501044,741863,497128,350419,782363,562843,369297,85315,346591,942845,861924,895569,725392,922820,1296364,1073976
110,776187,1374956,759465,855886,363438,508423,1200703,903160,1365384,35568,419412,418915,538656,1275498,743748,944843,1163514,508252,982587,123650
111,395220,743186,1387757,1283163,691571,5876,1082585,235890,868878,903659,488702,298119,282265,1466203,1389615,419428,782656,447604,570709,43321
112,1286646,1133333,738169,799989,224383,1415325,999017,666815,225331,1288961,485367,280594,1328280,402067,376045,622218,123040,1164423,1385063,541646
113,783700,725665,32709,421800,1214419,656288,256501,376969,707440,552804,846230,488582,1263685,434527,680178,627865,746151,1287288,151896,1384379
114,686486,1402879,14596,1046795,831103,645825,1255138,1464176,373634,7881,1016218,1402431,54120,1412273,155183,41904,925007,827801,1198839,578692
115,1037461,795832,977238,1044606,1445788,1287154,956763,833043,598270,702748,741550,205800,1207318,971274,304808,875863,255807,763446,1298220,1470411
116,1262560,480028,931641,1331757,1014219,150109,174955,703156,5090,617254,379109,777279,1149900,1225479,885251,1076200,716916,1070490,1172575,231228
117,583854,884563,448457,578667,745612,840082,374753,277568,1291572,580024,978056,1171789,235843,710150,759382,1347555,1337865,48430,1264450,870559
118,257017,831398,791414,1085771,1151755,617592,892835,1093918,646613,55956,627066,577953,1243153,1279310,297213,1003327,1148154,408668,185543,279248
119,1097975,625223,170926,686518,1454010,951324,1144575,602609,1207335,1323167,708006,1358283,1275890,1391552,1277178,28238,750559,1349410,1466771,1077465
120,722568,167675,1124669,911541,356787,180859,724259,1038431,31372,663370,709387,20869,1095281,92503,1086750,589297,850940,99348,1405711,31683
121,1425063,714538,108022,243692,120741,315020,287451,47918,1230395,1053453,133001,461483,727623,1201642,1101043,905733,1115671,1222032,1347955,600891
122,1414816,1062509,1313774,1378920,1422381,490006,1467798,899475,538680,619855,285542,1239852,652751,51433,800503,1166376,1148730,420291,216858,435891
123,1109468,1282825,301988,589997,1106658,265491,490805,36414,130780,480855,659269,570157,389963,1088056,841346,463435,1051455,954248,328609,1307317
124,440650,1183310,810133,710900,610072,1429666,427879,1322354,804515,709482,1441255,1135962,87168,1420401,296433,1222394,756752,1327937,762888,788571
125,781917,589182,1213820,610594,332553,71454,97345,1135368,89032,1261799,228832,47301,1122459,1466101,1334789,1346055,304802,832989,1394018,729548
126,675371,1395615,1311773,31611,281607,175351,1182794,1254076,267295,118135,40583,1194899,550762,1105750,824837,244344,1212872,304363,252884,369353
127,1124114,1205878,1420871,1014438,280239,679870,759896,539133,532739,1099264,1280168,708039,1194068,834042,823400,973908,1186400,1160608,157808,166656
128,1386902,81939,1355161,193270,1118568,1010723,683070,1416087,564217,925677,1047636,1241570,605619,596994,1212667,569412,891368,131948,709103,417420
129,1010725,231550,1176972,179943,577301,64568,1235981,503848,161019,931184,922363,1063325,1417675,1200255,881616,1208801,788564,1061410,756514,49662
130,1005786,750827,996689,1081105,1284942,637705,329639,967555,1390013,1378080,1154814,463448,775944,229832,242391,176058,207548,71970,1034383,484043
131,1324332,333319,181694,143779,1324339,639791,641563,1166133,1292508,89780,759293,416109,228334,950838,470219,1362955,21602,1199359,840055,407805
132,715193,924471,1162277,568532,896670,486955,1245926,1335580,1425608,792828,753643,37303,149615,1273823,1403061,139982,1166209,226027,1420245,932516
133,1031330,701530,586447,1398904,620752,226169,546427,758440,1214717,839251,257178,1290038,323016,206303,491516,88488,94964,107254,665639,621509
134,675134,1079807,908168,1252430,1229494,1310140,1396385,448218,794296,1201041,1120199,1242016,1412810,115599,316949,437286,1053022,1362335,755422,1051373
135,538887,922844,1289044,1145554,35900,1313735,768908,720828,767191,221843,1147879,56196,625790,133458,1470582,1196945,177045,107865,236591,773223
136,1379002,533755,711732,843553,621505,1307666,880573,724048,1187890,641548,990409,1441123,1411557,1238141,1415147,973331,865021,825370,302193,610095
137,1114094,613657,1279592,1022107,113210,270863,566686,1066067,927983,1470091,179372,273986,1118883,1018058,1358703,1351855,1098904,908444,1026524,1102103
138,750017,656210,98708,454355,1418543,1303155,1058658,552980,167972,821406,921031,1375967,784582,518028,589262,926418,587389,1297912,1142886,1379327
139,1089144,1336873,1374774,1268884,1319906,1151691,617478,1261468,144617,982603,1099974,439141,788989,744474,1363728,352804,1349781,1171876,374543,1273610
140,704045,1231209,186191,210076,1135541,288186,247904,161562,529221,1182010,430067,165085,58322,1400298,1456314,1229635,610386,864664,862248,957079
141,457130,719089,477701,1418565,1465697,1204657,743723,53484,416223,110832,489589,933987,783780,175,926178,220867,1068956,769160,1018419,34211
142,1240655,810766,449287,566616,1322301,1300641,524106,1453292,1224856,691874,932898,953294,1412298,1036201,1007145,352885,1316034,916311,474665,86064
143,453966,507242,741960,672598,401930,905772,1253497,1161004,1216515,1472165,717055,862432,1395585,1014034,164240,1008310,1334404,98317,743296,354409
144,320260,1310910,671948,69753,897268,497217,846584,266923,205309,914670,940037,1144879,796556,691195,198976,774400,897886,114857,395526,1023549
145,610933,179749,1388118,385848,502752,1135426,213878,329333,1044867,419435,600455,921246,412021,773144,136097,664110,1274091,678531,1297602,1171562
146,102789,1336842,1261536,1371604,951236,700332,176217,702911,1355343,1132130,245693,72454,1276113,890358,239362,434463,226895,1102622,30918,1087041
147,1372192,551786,1335401,126902,666710,376065,305418,1463957,527138,1394678,159044,844101,1230348,1393590,534564,566712,173610,571538,866390,974632
148,239859,978437,377737,1038868,186074,942736,851728,154319,1025589,1133970,41748,1238994,484415,293851,892707,106808,1314745,56334,597183,590822
149,34028,1104824,857513,219903,428829,1388546,1156541,470742,717296,266237,150922,1349205,675500,815373,21164,404850,845199,154925,573228,481046
150,445490,1023317,294488,829006,1257825,447099,1247110,456229,1013289,336750,450639,474272,93116,934450,594743,1391194,1226868,1359113,784044,981552
151,33212,630830,588162,444800,817073,35632,591618,964198,1314350,1191804,842898,1454568,505514,817764,740605,823366,839018,654060,796920,323876
152,1176044,820155,286020,1114600,542120,791574,823867,515077,58890,428671,378435,404186,422436,331102,322291,1350380,761760,102289,208274,1192625
153,1176280,397717,514307,1267876,1417962,1465334,1317849,456950,422059,475699,886605,1136860,292867,1320445,662756,780827,1459455,1116697,326051,651378
154,1141791,580855,432677,94982,399586,853142,1289814,491676,397722,20913,916286,947004,493273,906687,301908,1305491,1057604,93706,1449560,619304
155,872608,42085,8576,848882,502174,299879,375926,1204890,784037,1078195,1056799,970732,1301629,505400,1008433,120591,245086,306067,113898,1078119
156,456476,593377,16996,558714,749611,71178,240596,469895,1326075,898674,413820,684721,1215855,1010917,694245,535501,206899,1283231,1389979,1093665
157,368710,895137,1235407,789295,1258812,508291,498904,1394655,1057666,942745,1130211,529604,1318134,766719,1075670,728843,18723,1375187,1104628,769973
158,730596,602076,765775,882319,794564,787422,289091,350005,828626,1238783,1074881,633522,591847,250081,1177893,1366186,152746,679706,934178,381922
159,421369,1093208,997482,697073,1308593,584585,1094044,125689,1137792,281556,626423,510506,768325,1429279,1266037,760475,321417,1153964,572831,644309
160,596461,499299,649447,995473,1336673,689366,915572,2088,126499,1363583,334367,440192,59225,758968,254411,412558,1332664,1408931,443131,1155327
161,1176193,520578,468045,1364065,665484,1370653,1085351,55649,1222804,1362762,1195995,774174,313743,331327,353439,376881,959075,627587,397099,358258
162,1216862,903628,117266,147068,11612,1396390,878169,1462722,501813,1176067,862350,1225324,580676,1305939,379748,360774,620663,488042,477809,145450
163,159897,1404605,260856,1233002,656458,848165,841694,1312199,1257655,899057,878743,549762,800266,168605,562335,1160810,338802,924480,1425737,682802
164,369848,1082873,676127,797187,519398,700397,1383209,1142269,796673,387636,196466,639074,468836,92969,312731,621198,680508,631376,1128433,1262615
165,165615,198414,922182,385785,1018988,198054,37843,220529,497899,707573,1186516,1218948,766227,1094050,755120,378104,242456,1078869,592997,905387
166,1445408,1465740,18816,1371942,62105,842988,993113,185338,742784,584963,838711,875595,1238493,1279574,1161043,798636,1397691,491662,762552,1306267
167,1417045,435659,505480,1312998,816985,599254,1239227,973761,4305,85146,221397,1201906,1174527,849575,417927,873040,1316304,1356656,848270,375932
168,1295755,855428,1276427,1392965,584320,851841,157932,1201628,1368193,148117,1462211,1431688,33058,785335,924795,1262139,255350,1341315,1076526,440119
169,637662,198454,1013505,116100,1413260,268436,682293,1153252,504764,38717,488637,44757,383712,11455,746068,964665,467059,785796,933704,127438
170,958551,19904,942895,1437510,812670,826061,1200036,810503,185513,921437,1408958,283386,237013,1140539,768721,483603,378375,1310308,1083747,811401
171,1289006,575950,907379,1348503,1457197,617038,528476,235759,1341194,319439,788392,1401849,1276958,79353,1121153,599211,1108978,475940,466506,173218
172,933741,1448081,380339,445201,961537,502959,158077,306995,251810,662492,343280,520712,725582,823680,1151239,398400,764089,269543,1011692,179545
173,423745,184936,371448,13404,587058,467882,976521,1435024,1331468,340538,1187585,331465,1438569,515707,1125850,771944,350147,1419565,1174044,448435
174,1104734,705819,708938,616972,638014,933084,1054369,842630,984859,136129,1390940,197911,951439,281836,1146352,1131312,14704,134964,1344937,139932
175,63827,795484,640961,706360,1145549,1432585,462449,935903,608062,1022063,150334,674398,1284984,359809,406958,200430,656203,906751,495408,257432
176,713846,673627,119956,837289,499693,243287,1309145,1204462,522959,467539,1412023,1205137,1221465,777943,910863,667886,1444701,75224,332295,219621
177,643088,1051807,958983,1137020,434727,1368059,101499,454482,1193336,556543,402690,813225,18012,1419242,1027189,1399752,1224169,1168393,407638,471953
178,777090,772343,200012,491507,1423882,1461609,1181406,634193,40007,1308591,710016,241568,686186,1361989,146561,317613,927294,1335653,380158,837868
179,611376,1340008,1431398,58778,415838,1250458,674500,350279,625786,1194854,652551,621361,81714,884945,1158769,734935,598510,194970,485929,561250
180,432841,570334,34726,137152,549971,1215751,508846,932320,133667,1040806,891862,364648,1142847,1191132,1408294,1178913,82258,17630,66862,1082342
181,901090,628321,306954,389322,631071,64774,291245,761490,1138322,1166089,1440486,15716,423362,1114464,1054875,1211449,1325172,394072,190677,837321
182,952282,570556,797091,1258488,693704,846467,39042,705988,1126275,575716,1287591,946267,713816,27791,1175811,223602,128987,26357,787668,920441
183,1178174,192996,173169,655898,1342021,1239549,637348,1118993,1289545,7497,488566,39538,1382853,1400803,151579,974868,681701,1038776,107648,1168718
184,630969,1253270,1297419,541265,1169317,1318651,1061582,997352,227684,797562,786592,1166947,309397,260493,575362,1162330,820269,678804,74174,859897
185,1191615,1383983,549276,679606,910963,1267345,1195755,1323623,489226,332761,1307565,880656,1179087,1147116,126953,861851,449579,1142574,1393391,755540
186,856834,1245279,953403,1432923,242160,324985,1284392,236732,1124954,865151,947972,410538,226237,1284487,750276,945580,252907,527718,306172,693619
187,941223,1442763,1410715,1020118,356323,260915,503646,1336128,190574,87703,696262,197618,994348,854986,756663,1144266,827319,1372293,598755,601356
188,840213,349641,485455,83394,103761,347113,127855,546022,748322,682982,1295159,411403,1164561,308015,1317436,881282,86345,528371,593444,964742
189,573918,653832,16272,394112,238884,788002,647676,264713,905159,288184,226499,529238,411209,3237,1134191,1243219,892924,200076,979080,1291256
190,1251679,568699,1220389,643738,145683,1212908,940487,228567,522197,263743,190707,669365,21303,895227,36981,584763,1340155,606458,1141301,526539
191,156683,605473,1230749,790086,147160,1281809,156691,612187,1134899,1013334,1030834,1312408,1027421,1300392,804243,655567,1199164,1418516,1299403,860149
192,831775,1259973,1418885,777057,415927,806081,983583,1308185,597304,1378246,428796,889200,446810,865559,1451571,66227,1202176,407131,1065471,1454031
193,1202328,1331911,1368638,833757,218387,369579,1291462,1282609,929378,631388,756534,176274,209724,816908,144862,1051627,510012,525570,1199348,1455942
194,1188308,1248093,64764,1300969,190750,264573,1385635,31704,1292886,1342533,1261076,184812,824141,1152343,1380479,696906,1036543,1396961,1346037,782842
195,1091758,399154,727569,28795,1008592,833452,1215828,1109942,779580,654793,289656,139231,84709,286516,356660,1197048,335930,521062,337255,318233
196,1254390,1192626,168240,727647,825045,1011389,451695,228288,639877,783473,760145,992404,584983,565750,872963,368082,230267,58788,1429719,45140
197,841524,169253,1331284,188893,577695,1208010,1402378,986236,1001637,891679,153602,423960,709758,1385261,994608,96388,486746,79703,1339330,1287111
198,738276,719264,424018,1307759,201843,341175,702595,552319,665870,24709,1259956,772411,3998,732339,62019,1040391,811124,13339,1246486,441636
199,1185792,1358014,1250937,683576,751126,460949,441879,205692,376038,378141,1065343,711600,546682,1340501,687299,486073,103325,1089751,948339,1028319
200,851119,1322812,770596,903707,379933,132602,952288,904014,688205,1271549,1252349,1190727,173302,400707,1169302,1076016,542227,148421,715902,861412
